NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.404	40.359	0.063	30.514	0.254	0.908	15000.0
2	0.403	40.35	0.063	30.505	0.283	0.908	100000.0
3	0.399	39.94	0.063	30.328	0.254	0.909	15000.0
4	0.404	40.361	0.063	30.522	0.248	0.908	15000.0
5	0.403	40.35	0.063	30.505	0.276	0.908	50000.0
6	0.399	39.93	0.063	30.318	0.277	0.909	60000.0
7	0.399	39.942	0.063	30.334	0.262	0.909	15000.0
8	0.403	40.339	0.063	30.502	0.265	0.908	15000.0
9	0.404	40.356	0.063	30.508	0.267	0.908	15000.0
10	0.399	39.93	0.063	30.318	0.277	0.909	75000.0
