NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	193.28	83.871	39.03	55.881	0.744	0.729	30000.0
2	193.537	86.151	39.764	59.596	0.789	0.703	50000.0
3	192.911	85.505	39.588	59.138	0.78	0.709	50000.0
4	191.452	84.973	39.002	58.181	0.776	0.716	40000.0
5	192.663	83.895	38.946	55.887	0.747	0.73	20000.0
6	191.744	84.63	39.173	58.221	0.772	0.718	20000.0
7	191.486	85.022	38.999	58.518	0.782	0.713	30000.0
8	193.706	86.068	39.902	59.556	0.791	0.703	30000.0
9	192.96	83.658	39.118	55.844	0.741	0.73	50000.0
10	191.884	84.925	39.227	58.264	0.776	0.716	30000.0
