NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.13	89.301	0.067	101.095	0.593	0.409	20000.0
2	0.13	89.33	0.068	195.56	0.71	0.416	40000.0
3	0.133	99.14	0.068	101.199	0.691	0.396	20000.0
4	0.13	89.26	0.067	101.093	0.589	0.417	40000.0
5	0.129	98.773	0.067	101.059	0.623	0.424	30000.0
6	0.136	99.412	0.069	101.303	0.628	0.374	30000.0
7	0.132	89.484	0.068	101.192	0.61	0.395	20000.0
8	0.132	89.508	0.068	101.224	0.604	0.389	20000.0
9	0.127	88.987	0.066	101.013	0.587	0.427	50000.0
10	0.132	89.458	0.068	101.212	0.582	0.398	20000.0
