Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
BRCA_TCGA-3C-AAAU	5	0	2	12	0	0	2	4	7	9	5	0
BRCA_TCGA-3C-AALI	29	13	71	0	11	4	0	17	0	68	595	0
BRCA_TCGA-3C-AALJ	4	0	3	4	2	0	0	6	11	27	9	0
BRCA_TCGA-3C-AALK	11	3	0	0	9	0	5	0	10	15	11	0
BRCA_TCGA-4H-AAAK	6	0	6	3	5	0	0	6	0	7	0	0
BRCA_TCGA-5L-AAT0	0	1	35	13	0	0	0	0	52	2	176	0
BRCA_TCGA-5L-AAT1	0	58	169	18	0	10	0	0	134	1	1596	0
BRCA_TCGA-5T-A9QA	14	0	0	0	6	1	5	0	18	8	1	0
BRCA_TCGA-A1-A0SB	5	0	1	0	2	0	2	4	0	2	0	0
BRCA_TCGA-A1-A0SD	10	0	1	0	2	0	2	2	7	14	2	0
BRCA_TCGA-A1-A0SE	0	0	5	4	0	0	1	6	8	7	5	0
BRCA_TCGA-A1-A0SF	0	1	4	8	0	0	0	0	13	0	36	2
BRCA_TCGA-A1-A0SG	6	0	7	1	0	0	1	3	6	10	1	0
BRCA_TCGA-A1-A0SH	0	7	0	8	0	1	1	4	24	17	76	0
BRCA_TCGA-A1-A0SI	8	7	15	0	1	3	1	10	1	4	228	0
BRCA_TCGA-A1-A0SJ	7	0	0	7	0	0	0	1	3	10	9	3
BRCA_TCGA-A1-A0SK	14	2	2	0	2	0	1	1	10	49	3	0
BRCA_TCGA-A1-A0SM	4	1	5	3	0	2	3	3	3	8	0	0
BRCA_TCGA-A1-A0SN	6	2	9	7	0	0	0	3	7	19	22	1
BRCA_TCGA-A1-A0SO	3	13	7	3	18	39	7	0	42	186	27	8
BRCA_TCGA-A1-A0SP	2	0	0	10	9	0	0	0	25	22	2	0
BRCA_TCGA-A2-A04N	5	0	8	0	0	9	0	4	13	8	5	1
BRCA_TCGA-A2-A04R	3	4	4	4	0	19	3	0	9	42	10	4
BRCA_TCGA-A2-A04U	12	0	4	0	1	2	4	3	3	31	3	4
BRCA_TCGA-A2-A04W	3	2	22	11	0	0	1	10	14	11	113	0
BRCA_TCGA-A2-A0CK	10	0	0	1	0	3	1	0	5	3	4	0
BRCA_TCGA-A2-A0CL	23	0	12	0	3	0	0	9	0	3	148	2
BRCA_TCGA-A2-A0CR	3	0	9	0	0	0	7	0	13	0	177	1
BRCA_TCGA-A2-A0CS	11	0	1	6	3	0	0	5	2	18	1	1
BRCA_TCGA-A2-A0CV	3	0	4	7	0	0	0	2	1	6	1	0
BRCA_TCGA-A2-A0CW	11	3	4	0	0	2	3	0	8	24	28	1
BRCA_TCGA-A2-A0D3	13	0	1	3	0	1	0	4	6	3	1	0
BRCA_TCGA-A2-A0EN	6	0	3	0	0	1	5	1	11	12	0	0
BRCA_TCGA-A2-A0EP	0	0	0	0	1	2	3	0	3	2	4	1
BRCA_TCGA-A2-A0ES	0	0	1	2	2	0	1	0	7	6	0	0
BRCA_TCGA-A2-A0EW	4	0	1	0	2	0	0	7	3	2	1	0
BRCA_TCGA-A2-A0ST	5	0	1	1	0	0	2	3	2	9	5	0
BRCA_TCGA-A2-A0SU	0	0	0	8	0	2	0	1	9	13	2	0
BRCA_TCGA-A2-A0SX	1	4	0	9	0	0	2	2	5	8	8	2
BRCA_TCGA-A2-A0SY	8	1	17	0	3	0	2	0	21	4	121	0
BRCA_TCGA-A2-A0T0	7	6	3	4	21	11	22	1	7	102	25	8
BRCA_TCGA-A2-A0T1	6	0	3	1	0	0	8	0	4	7	0	3
BRCA_TCGA-A2-A0T3	8	3	1	0	5	0	1	0	5	19	2	0
BRCA_TCGA-A2-A0T4	5	0	0	5	2	0	0	6	1	12	10	0
BRCA_TCGA-A2-A0T5	5	0	1	1	0	0	0	0	0	4	1	1
BRCA_TCGA-A2-A0T6	13	0	1	2	1	0	0	0	2	6	3	0
BRCA_TCGA-A2-A0T7	8	0	3	0	0	0	2	1	5	4	3	3
BRCA_TCGA-A2-A0YC	6	0	0	1	1	1	1	1	3	12	6	0
BRCA_TCGA-A2-A0YD	8	3	15	1	3	0	0	0	7	3	46	1
BRCA_TCGA-A2-A0YE	7	2	1	5	0	0	0	3	7	10	8	0
BRCA_TCGA-A2-A0YF	2	5	1	4	0	2	0	0	8	15	2	0
BRCA_TCGA-A2-A0YG	8	0	4	1	5	3	3	6	22	18	8	0
BRCA_TCGA-A2-A0YH	10	4	4	1	5	0	0	0	8	21	47	0
BRCA_TCGA-A2-A0YI	0	0	1	1	0	2	1	0	2	10	1	0
BRCA_TCGA-A2-A0YJ	21	4	2	0	15	0	4	0	6	32	6	8
BRCA_TCGA-A2-A0YK	9	13	21	0	2	0	3	0	0	0	430	0
BRCA_TCGA-A2-A0YL	0	0	0	2	0	0	1	1	13	0	26	0
BRCA_TCGA-A2-A0YM	19	0	7	5	0	0	3	10	4	22	39	0
BRCA_TCGA-A2-A0YT	8	2	14	12	0	0	0	1	3	23	18	0
BRCA_TCGA-A2-A1FV	8	0	1	3	0	0	5	1	12	12	8	0
BRCA_TCGA-A2-A1FW	17	5	4	1	10	0	6	0	15	26	7	4
BRCA_TCGA-A2-A1FX	2	3	2	4	0	0	0	1	7	9	0	0
BRCA_TCGA-A2-A1FZ	6	0	0	0	3	0	4	4	4	6	2	0
BRCA_TCGA-A2-A1G0	0	0	2	0	0	0	0	3	8	8	2	0
BRCA_TCGA-A2-A1G1	3	1	1	0	6	0	0	3	7	15	3	0
BRCA_TCGA-A2-A1G6	1	0	0	2	0	1	1	0	0	4	1	0
BRCA_TCGA-A2-A259	0	0	3	2	0	0	1	0	11	8	4	0
BRCA_TCGA-A2-A25A	5	5	1	2	0	7	2	0	16	13	78	0
BRCA_TCGA-A2-A25B	0	3	8	9	7	13	2	0	23	54	9	0
BRCA_TCGA-A2-A25C	0	3	0	0	0	6	10	0	6	11	3	0
BRCA_TCGA-A2-A25D	3	0	2	3	5	0	2	4	14	19	8	4
BRCA_TCGA-A2-A25E	3	2	2	2	9	0	5	3	3	23	8	1
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	1	5	0	0
BRCA_TCGA-A2-A3KD	4	0	0	0	0	0	4	0	8	1	1	0
BRCA_TCGA-A2-A3XT	6	4	0	0	7	0	5	11	1	54	30	4
BRCA_TCGA-A2-A3XU	9	0	0	0	5	1	2	2	3	8	1	0
BRCA_TCGA-A2-A3XV	0	0	4	9	1	1	6	0	11	14	0	2
BRCA_TCGA-A2-A3XW	2	0	3	1	0	0	0	6	1	2	2	0
BRCA_TCGA-A2-A3XX	6	0	5	7	2	1	1	2	4	20	4	0
BRCA_TCGA-A2-A3XZ	8	0	6	0	5	0	0	0	2	7	24	0
BRCA_TCGA-A2-A3Y0	9	3	1	11	7	4	20	15	13	105	50	5
BRCA_TCGA-A2-A4S1	11	8	0	6	1	2	9	0	6	46	7	2
BRCA_TCGA-A2-A4S2	5	0	0	2	3	0	4	2	5	14	7	1
BRCA_TCGA-A2-A4S3	14	6	2	3	7	0	10	4	11	33	17	0
BRCA_TCGA-A7-A0CE	0	1	2	5	0	5	5	1	12	22	7	1
BRCA_TCGA-A7-A0CH	0	0	1	0	0	0	0	4	8	4	0	0
BRCA_TCGA-A7-A0D9	0	0	0	2	0	0	1	0	4	0	4	1
BRCA_TCGA-A7-A0DA	5	3	6	5	7	2	1	7	13	110	19	9
BRCA_TCGA-A7-A0DB	10	2	1	0	2	0	4	0	0	11	19	4
BRCA_TCGA-A7-A13D	9	0	2	3	7	2	4	6	18	70	19	0
BRCA_TCGA-A7-A13E	33	0	0	1	11	2	1	2	2	21	7	0
BRCA_TCGA-A7-A13F	10	2	6	2	5	0	2	2	6	6	4	0
BRCA_TCGA-A7-A13G	3	1	0	5	1	0	0	2	3	5	11	1
BRCA_TCGA-A7-A26E	12	0	10	0	3	1	3	1	6	10	19	2
BRCA_TCGA-A7-A26F	9	3	4	0	4	0	0	0	8	14	4	0
BRCA_TCGA-A7-A26G	3	3	1	3	6	2	1	2	4	26	17	0
BRCA_TCGA-A7-A26H	22	5	3	0	0	0	4	2	14	19	81	0
BRCA_TCGA-A7-A26I	2	2	2	1	0	0	2	4	11	15	7	0
BRCA_TCGA-A7-A26J	4	3	0	0	0	1	1	0	8	21	4	0
BRCA_TCGA-A7-A2KD	8	1	3	6	0	0	0	3	16	9	8	1
BRCA_TCGA-A7-A3RF	6	0	0	0	2	1	4	3	3	18	3	0
BRCA_TCGA-A7-A425	9	0	0	1	0	2	2	0	5	13	0	1
BRCA_TCGA-A7-A4SC	3	2	3	4	0	0	0	3	6	15	1	1
BRCA_TCGA-A7-A4SD	21	0	2	0	7	1	5	0	4	15	2	5
BRCA_TCGA-A7-A4SE	4	3	0	0	20	0	10	0	5	59	42	3
BRCA_TCGA-A7-A56D	12	10	15	14	3	3	1	0	31	28	108	0
BRCA_TCGA-A7-A5ZV	22	1	6	6	2	6	8	28	22	116	36	15
BRCA_TCGA-A7-A5ZW	6	2	2	1	1	0	4	6	0	3	11	0
BRCA_TCGA-A7-A5ZX	1	1	5	3	0	1	3	0	8	12	4	4
BRCA_TCGA-A7-A6VV	11	0	0	0	3	2	0	10	17	13	8	0
BRCA_TCGA-A7-A6VW	5	0	3	0	2	3	9	6	17	37	7	3
BRCA_TCGA-A7-A6VX	0	0	3	6	5	7	8	6	29	63	41	9
BRCA_TCGA-A7-A6VY	2	4	5	6	11	0	8	4	17	58	20	1
BRCA_TCGA-A8-A075	0	3	2	5	0	1	0	1	27	31	27	3
BRCA_TCGA-AC-A23C	2	8	5	9	6	0	12	0	16	27	57	3
BRCA_TCGA-AC-A23E	7	1	2	0	0	0	0	1	5	8	0	0
BRCA_TCGA-AC-A23H	40	135	215	28	97	0	0	0	0	151	5712	0
