NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	109.855	65.228	19.2	44.299	0.543	0.829	50000.0
2	112.485	67.335	19.873	45.668	0.554	0.82	60000.0
3	110.131	65.594	18.95	43.958	0.555	0.831	80000.0
4	107.613	64.335	18.585	43.246	0.543	0.838	80000.0
5	109.783	65.749	19.166	44.485	0.562	0.828	80000.0
6	110.876	65.638	19.185	44.222	0.538	0.832	100000.0
7	108.829	65.514	19.01	44.806	0.555	0.825	70000.0
8	112.269	66.95	19.299	44.586	0.553	0.829	70000.0
9	105.785	63.254	18.123	42.765	0.548	0.84	80000.0
10	112.54	67.387	19.627	45.515	0.552	0.823	60000.0
