NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.387	38.731	0.06	29.21	0.245	0.915	45000.0
2	0.387	38.714	0.06	29.175	0.209	0.916	60000.0
3	0.39	39.014	0.06	29.366	0.207	0.914	15000.0
4	0.39	38.992	0.06	29.329	0.224	0.914	25000.0
5	0.387	38.717	0.06	29.178	0.205	0.916	35000.0
6	0.387	38.718	0.06	29.175	0.214	0.916	105000.0
7	0.387	38.719	0.06	29.174	0.211	0.916	65000.0
8	0.384	38.421	0.06	28.802	0.215	0.922	15000.0
9	0.387	38.694	0.06	29.123	0.211	0.916	105000.0
10	0.39	39.022	0.06	29.462	0.207	0.913	15000.0
