NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.395	39.456	0.061	29.403	0.229	0.916	20000.0
2	0.395	39.453	0.061	29.404	0.226	0.916	30000.0
3	0.395	39.455	0.061	29.403	0.224	0.916	20000.0
4	0.395	39.454	0.061	29.403	0.222	0.916	15000.0
5	0.395	39.453	0.061	29.403	0.222	0.916	15000.0
6	0.395	39.456	0.061	29.403	0.225	0.916	25000.0
7	0.395	39.455	0.061	29.403	0.227	0.916	15000.0
8	0.395	39.455	0.061	29.403	0.228	0.916	15000.0
9	0.395	39.455	0.061	29.402	0.238	0.916	30000.0
10	0.395	39.455	0.061	29.402	0.239	0.916	25000.0
