NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.668	66.792	0.109	49.831	0.508	0.775	15000.0
2	0.668	66.811	0.109	49.837	0.51	0.775	15000.0
3	0.669	66.888	0.109	49.873	0.514	0.775	15000.0
4	0.667	66.697	0.109	49.759	0.508	0.775	15000.0
5	0.662	66.194	0.108	49.552	0.504	0.777	15000.0
6	0.663	66.289	0.108	49.579	0.509	0.777	15000.0
7	0.668	66.835	0.109	49.842	0.503	0.775	15000.0
8	0.672	67.208	0.109	49.883	0.581	0.776	15000.0
9	0.662	66.232	0.108	49.541	0.508	0.777	15000.0
10	0.668	66.833	0.109	49.857	0.498	0.775	15000.0
