NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.345	34.522	0.051	25.024	0.196	0.939	15000.0
2	0.345	34.526	0.051	25.052	0.199	0.939	25000.0
3	0.346	34.56	0.051	25.074	0.192	0.939	20000.0
4	0.345	34.549	0.051	25.049	0.19	0.939	15000.0
5	0.345	34.524	0.051	25.03	0.204	0.939	25000.0
6	0.345	34.521	0.051	25.022	0.196	0.939	15000.0
7	0.346	34.556	0.051	25.075	0.19	0.939	15000.0
8	0.345	34.525	0.051	25.037	0.192	0.939	15000.0
9	0.345	34.533	0.051	25.049	0.19	0.939	15000.0
10	0.345	34.522	0.051	25.033	0.195	0.939	15000.0
