NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.614	61.369	0.098	47.922	0.411	0.799	15000.0
2	0.652	65.192	0.107	51.005	0.824	0.8	20000.0
3	0.658	65.783	0.109	55.562	0.674	0.799	15000.0
4	0.673	67.257	0.117	59.708	0.6	0.8	15000.0
5	0.886	88.611	0.189	103.837	26.262	0.766	35000.0
6	0.677	67.683	0.115	54.34	0.527	0.78	15000.0
7	0.642	64.193	0.105	50.505	0.507	0.797	15000.0
8	0.633	63.294	0.103	49.401	0.5	0.8	15000.0
9	0.648	64.829	0.106	50.655	0.599	0.789	15000.0
10	0.658	65.821	0.109	51.74	0.478	0.783	15000.0
