NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.676	67.581	0.11	50.921	0.516	0.769	20000.0
2	0.669	66.908	0.109	50.578	0.505	0.771	15000.0
3	0.676	67.626	0.11	50.938	0.515	0.768	20000.0
4	0.676	67.579	0.11	50.913	0.506	0.769	15000.0
5	0.669	66.938	0.109	50.571	0.503	0.771	25000.0
6	0.676	67.556	0.11	50.892	0.506	0.769	15000.0
7	0.669	66.892	0.109	50.552	0.504	0.771	30000.0
8	0.676	67.636	0.11	50.944	0.516	0.768	20000.0
9	0.67	66.954	0.109	50.604	0.515	0.771	25000.0
10	0.669	66.911	0.109	50.569	0.514	0.771	20000.0
