NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.378	37.798	0.057	28.016	0.215	0.922	15000.0
2	0.378	37.83	0.057	28.009	0.211	0.922	15000.0
3	0.378	37.784	0.057	28.01	0.215	0.922	15000.0
4	0.378	37.835	0.057	28.012	0.211	0.922	15000.0
5	0.378	37.799	0.057	28.018	0.217	0.922	15000.0
6	0.378	37.83	0.057	28.009	0.211	0.922	15000.0
7	0.378	37.831	0.057	28.009	0.211	0.922	15000.0
8	0.378	37.83	0.057	28.01	0.212	0.922	15000.0
9	0.378	37.83	0.057	28.009	0.212	0.922	20000.0
10	0.378	37.83	0.057	28.008	0.211	0.922	15000.0
