NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.065	44.651	0.038	98.206	0.177	0.743	20000.0
2	0.07	35.572	0.042	98.604	0.153	0.718	20000.0
3	0.067	44.849	0.041	98.445	0.175	0.736	40000.0
4	0.062	25.287	0.039	98.27	0.119	0.75	20000.0
5	0.063	34.867	0.039	98.299	0.155	0.761	40000.0
6	0.07	26.06	0.044	98.748	0.124	0.715	20000.0
7	0.067	6.63	0.041	4.092	0.062	0.713	40000.0
8	0.071	54.76	0.042	98.612	0.244	0.734	20000.0
9	0.062	25.267	0.039	98.255	0.117	0.752	30000.0
10	0.062	34.82	0.038	98.194	0.156	0.755	20000.0
