NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.633	63.324	0.101	47.333	0.491	0.795	15000.0
2	0.641	64.133	0.102	47.804	0.514	0.79	15000.0
3	0.641	64.133	0.102	47.804	0.515	0.79	15000.0
4	0.641	64.133	0.102	47.804	0.516	0.79	15000.0
5	0.641	64.133	0.102	47.804	0.514	0.79	15000.0
6	0.633	63.324	0.101	47.333	0.515	0.795	40000.0
7	0.633	63.324	0.101	47.333	0.498	0.795	15000.0
8	0.641	64.134	0.102	47.804	0.515	0.79	15000.0
9	0.641	64.132	0.102	47.803	0.552	0.79	35000.0
10	0.641	64.133	0.102	47.804	0.516	0.79	15000.0
