Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
BRCA_TCGA-3C-AAAU	0	8	0	11	17	0	4	6	0
BRCA_TCGA-3C-AALI	40	37	16	0	26	0	2	666	21
BRCA_TCGA-3C-AALJ	0	4	2	6	43	0	1	10	0
BRCA_TCGA-3C-AALK	2	11	10	0	23	1	5	12	0
BRCA_TCGA-4H-AAAK	3	6	4	3	13	0	1	0	3
BRCA_TCGA-5L-AAT0	10	0	0	16	84	0	0	168	1
BRCA_TCGA-5L-AAT1	105	14	0	17	185	0	0	1665	0
BRCA_TCGA-5T-A9QA	0	15	7	0	20	5	4	2	0
BRCA_TCGA-A1-A0SB	0	4	3	0	5	0	4	0	0
BRCA_TCGA-A1-A0SD	0	10	0	0	24	1	3	2	0
BRCA_TCGA-A1-A0SE	2	0	0	4	22	0	2	6	0
BRCA_TCGA-A1-A0SF	1	0	0	10	13	0	0	38	2
BRCA_TCGA-A1-A0SG	3	6	0	1	19	0	2	2	2
BRCA_TCGA-A1-A0SH	1	0	0	10	26	10	3	88	0
BRCA_TCGA-A1-A0SI	9	8	4	0	0	4	6	247	0
BRCA_TCGA-A1-A0SJ	0	10	2	9	4	0	0	11	4
BRCA_TCGA-A1-A0SK	0	15	0	0	64	0	2	3	0
BRCA_TCGA-A1-A0SM	5	5	0	3	15	0	4	0	0
BRCA_TCGA-A1-A0SN	5	7	0	7	27	0	0	26	4
BRCA_TCGA-A1-A0SO	11	0	5	11	188	78	12	33	15
BRCA_TCGA-A1-A0SP	0	3	9	11	44	1	0	2	0
BRCA_TCGA-A2-A04N	1	6	0	0	25	11	0	6	4
BRCA_TCGA-A2-A04R	5	0	0	9	37	30	2	11	8
BRCA_TCGA-A2-A04U	0	13	0	0	33	2	5	4	10
BRCA_TCGA-A2-A04W	9	7	1	10	35	0	4	115	6
BRCA_TCGA-A2-A0CK	0	9	0	1	5	5	2	5	0
BRCA_TCGA-A2-A0CL	1	25	4	0	0	0	3	160	7
BRCA_TCGA-A2-A0CR	0	5	0	0	4	2	9	190	0
BRCA_TCGA-A2-A0CS	0	12	3	8	22	0	1	0	2
BRCA_TCGA-A2-A0CV	2	4	0	8	8	0	0	1	1
BRCA_TCGA-A2-A0CW	4	12	0	0	29	4	3	32	0
BRCA_TCGA-A2-A0D3	0	15	0	2	12	2	0	1	0
BRCA_TCGA-A2-A0EN	0	6	0	0	26	1	5	1	0
BRCA_TCGA-A2-A0EP	0	0	1	0	1	3	3	6	2
BRCA_TCGA-A2-A0ES	0	0	0	2	16	0	1	0	0
BRCA_TCGA-A2-A0EW	0	4	4	0	8	0	2	2	0
BRCA_TCGA-A2-A0ST	0	5	0	1	13	0	4	5	0
BRCA_TCGA-A2-A0SU	0	0	0	11	19	3	0	2	0
BRCA_TCGA-A2-A0SX	3	2	0	12	9	1	3	9	2
BRCA_TCGA-A2-A0SY	4	10	1	0	37	0	2	122	1
BRCA_TCGA-A2-A0T0	4	0	20	12	86	20	31	30	14
BRCA_TCGA-A2-A0T1	1	6	0	2	11	0	8	0	4
BRCA_TCGA-A2-A0T3	4	9	4	1	21	2	1	2	0
BRCA_TCGA-A2-A0T4	0	8	10	5	4	0	1	13	0
BRCA_TCGA-A2-A0T5	0	5	0	1	3	0	0	2	2
BRCA_TCGA-A2-A0T6	0	12	0	2	9	1	0	4	0
BRCA_TCGA-A2-A0T7	0	8	0	0	9	1	3	3	5
BRCA_TCGA-A2-A0YC	0	7	2	1	11	2	2	7	0
BRCA_TCGA-A2-A0YD	9	9	0	0	20	0	0	46	3
BRCA_TCGA-A2-A0YE	2	8	0	6	17	0	0	10	0
BRCA_TCGA-A2-A0YF	5	3	0	5	19	4	1	2	0
BRCA_TCGA-A2-A0YG	0	9	4	0	46	5	5	9	0
BRCA_TCGA-A2-A0YH	3	9	2	2	29	2	1	52	0
BRCA_TCGA-A2-A0YI	0	0	0	2	11	2	1	2	0
BRCA_TCGA-A2-A0YJ	2	22	14	0	33	4	5	6	12
BRCA_TCGA-A2-A0YK	12	7	0	0	0	0	4	455	0
BRCA_TCGA-A2-A0YL	0	1	1	1	13	0	1	26	0
BRCA_TCGA-A2-A0YM	2	22	0	6	27	0	8	42	2
