NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.683	68.284	0.112	51.843	0.517	0.751	15000.0
2	0.658	65.752	0.106	49.506	0.544	0.776	15000.0
3	0.658	65.777	0.106	49.481	0.489	0.776	20000.0
4	0.651	65.136	0.106	49.172	0.496	0.778	15000.0
5	0.657	65.745	0.106	49.467	0.485	0.776	20000.0
6	0.651	65.108	0.106	49.152	0.49	0.779	40000.0
7	0.658	65.802	0.106	49.491	0.492	0.776	40000.0
8	0.657	65.75	0.106	49.463	0.486	0.776	15000.0
9	0.651	65.099	0.106	49.145	0.486	0.779	25000.0
10	0.652	65.205	0.106	49.191	0.491	0.778	40000.0
