NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.096	66.782	0.054	99.835	0.289	0.616	20000.0
2	0.098	57.444	0.055	99.918	0.241	0.591	20000.0
3	0.1	67.251	0.057	100.079	0.322	0.596	30000.0
4	0.091	37.66	0.053	99.725	0.182	0.623	40000.0
5	0.083	55.967	0.047	99.071	0.285	0.664	20000.0
6	0.097	47.866	0.056	100.032	0.212	0.596	30000.0
7	0.094	66.578	0.052	99.581	0.344	0.618	20000.0
8	0.092	56.904	0.052	99.574	0.268	0.621	20000.0
9	0.089	56.594	0.051	99.507	0.276	0.636	50000.0
10	0.091	47.24	0.053	99.682	0.215	0.627	20000.0
