NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	136.448	75.259	25.141	49.394	0.654	0.787	40000.0
2	136.234	75.167	25.156	49.348	0.648	0.788	60000.0
3	136.702	74.988	25.33	49.316	0.645	0.788	40000.0
4	137.448	75.327	24.621	49.351	0.651	0.787	30000.0
5	135.946	75.105	24.905	49.233	0.653	0.789	70000.0
6	135.997	74.981	24.962	49.102	0.648	0.79	70000.0
7	136.978	75.208	25.322	49.576	0.652	0.785	80000.0
8	136.024	75.133	24.912	49.272	0.652	0.787	50000.0
9	136.532	75.065	25.188	49.444	0.647	0.787	50000.0
10	136.323	74.979	25.191	49.332	0.648	0.788	30000.0
