gene_KO	SBS96A_MMR_MSH6	SBS96B_MMR_MLH1	SBS96C_MMR_PMS2	SBS96D_BER_OGG1	SBS96E_HR_RNF168	SBS96F_BER_UNG	SBS96G_Control_ATP2B4	SBS96H_MMR_PMS1	SBS96I_HR_EXO1	SBS96J_Control_ATP2B4	SBS96K_BER_UNG
ATP2B4	0.004293103741627289	0.0023811895435734334	0.021287260287618317	0.05980022332278479	0.012156356616452871	0.06806983880111254	0.5439314702667202	0.044272094006315155	0.019057853848043753	0.171445002043635	0.053305607522116445
EXO1	0.00027558893997094527	0.0016808090496555242	0.03960471643123903	0.004552904558279723	0.0860614093063732	3.452948477773115e-48	0.0007963577306425375	0.0007084486175897639	0.8498236271953985	0.014879174184216006	0.0016169639866345977
RNF168	0.010140255949520833	0.0127217477729232	0.019753368342192514	0.010211554165589456	0.7364949597892545	0.016240414322692298	0.022639984420411242	0.008797686890892538	0.10928105410654285	0.026823543411892543	0.02689543082808785
UNG	0.007451954231929544	0.021333451078986043	0.015927731132187782	0.005899446069779909	0.0184794479591814	0.6417647395922584	0.030477507841558123	0.012829150072676113	0.017786595888507922	0.0848886157033784	0.1431613604295562
OGG1	0.00668696662905168	0.003232445364390615	0.007446567571970534	0.7859045533144933	0.008757791393855014	0.024903761211091783	0.07719208125285014	0.011903027418640563	0.004936706018380007	0.054806780891015296	0.014229318934260994
MLH1	0.07451835847256656	0.8193913484317781	0.02085999371411938	0.003007462828838292	0.0301034776071923	0.013993731273460036	0.001972986473119248	0.007154496134693421	0.007961473258833826	0.013007435305000965	0.008029236500397618
MSH2	0.48544011476864113	0.3676439099776088	0.00042694785606518467	0.005798685605472876	0.0163218384040111	0.017104396973567512	0.002794250611371925	0.014210039552658083	0.0011360179061228764	0.0012318145217598002	0.08789198382272048
MSH6	0.7871437121069071	0.053105372574187376	0.09195379735303635	0.006683305258165961	0.006492673047004039	0.01096391341950438	0.007008773643100549	0.0073223811254114445	0.00573250896142114	0.007310552997505606	0.01628300951375589
PMS1	0.0032578663931214966	0.028304061421104258	0.010877367783383636	0.018380487704154316	0.004387906843847823	0.031396662831608274	0.08068687127926802	0.6570742978257689	0.0039349011489991275	0.0948719637040015	0.06682761306474252
PMS2	0.004565912674199278	0.0002965226982656949	0.9538498901356726	0.010485023954863037	0.009108711365713578	0.002007385289744553	0.008349819161019732	0.004171511011116669	0.0009957804248755043	0.004351565782087408	0.0018178775024419158
