NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.643	64.298	0.104	48.072	0.515	0.791	15000.0
2	0.643	64.299	0.104	48.071	0.518	0.791	15000.0
3	0.643	64.299	0.104	48.071	0.51	0.791	15000.0
4	0.642	64.162	0.104	48.126	0.561	0.791	15000.0
5	0.643	64.299	0.104	48.071	0.51	0.791	15000.0
6	0.66	65.981	0.105	49.625	0.547	0.772	15000.0
7	0.643	64.299	0.104	48.072	0.514	0.791	15000.0
8	0.66	65.983	0.105	49.622	0.541	0.772	15000.0
9	0.643	64.299	0.104	48.073	0.515	0.791	15000.0
10	0.643	64.299	0.104	48.072	0.518	0.791	15000.0
