NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.127	88.97	0.066	101.011	0.598	0.438	40000.0
2	0.126	88.908	0.065	100.938	0.59	0.442	40000.0
3	0.126	88.876	0.066	100.945	0.549	0.438	40000.0
4	0.123	88.565	0.065	195.279	0.617	0.458	20000.0
5	0.121	97.984	0.064	195.182	0.721	0.491	20000.0
6	0.131	98.955	0.068	195.62	0.64	0.419	20000.0
7	0.125	88.779	0.066	195.344	0.609	0.456	20000.0
8	0.129	89.226	0.067	101.133	0.517	0.417	40000.0
9	0.122	98.018	0.063	100.72	0.57	0.484	20000.0
10	0.124	88.653	0.065	100.937	0.512	0.45	30000.0
