NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.667	66.732	0.109	49.865	0.502	0.779	15000.0
2	0.66	65.96	0.108	49.508	0.501	0.782	20000.0
3	0.667	66.747	0.109	49.879	0.546	0.779	20000.0
4	0.667	66.709	0.109	49.859	0.509	0.779	15000.0
5	0.667	66.665	0.109	49.827	0.518	0.78	15000.0
6	0.667	66.733	0.109	49.878	0.54	0.779	15000.0
7	0.66	65.974	0.108	49.52	0.509	0.782	15000.0
8	0.66	65.96	0.108	49.505	0.549	0.782	35000.0
9	0.66	65.986	0.108	49.51	0.549	0.782	55000.0
10	0.668	66.778	0.109	49.893	0.509	0.779	15000.0
