split,bootstrap,accuracy,f1_score,recall,C
0,dirichlet,0.88075,0.8800309991703887,0.88075,0.01
1,dirichlet,0.851,0.8512949146634787,0.8510000000000001,0.01
2,dirichlet,0.86675,0.8671798671197137,0.86675,0.01
3,dirichlet,0.87525,0.8744586816221243,0.8752500000000001,0.01
4,dirichlet,0.857,0.8566680731167966,0.857,0.01
5,dirichlet,0.8785,0.8784827796919501,0.8785000000000001,0.01
6,dirichlet,0.8615,0.8601723243337536,0.8615,0.01
7,dirichlet,0.89075,0.8899642502649608,0.89075,0.01
8,dirichlet,0.8945,0.8936142623890526,0.8945000000000001,0.01
9,dirichlet,0.89725,0.8969036513264598,0.89725,0.01
10,dirichlet,0.97925,0.9792709932825856,0.97925,0.01
