split,bootstrap,lambda_c,accuracy_test,f1_test,recall_test,Lrec_train,Lce_train,Ltot_train,stability,n_filter,epochs_mean,k,lr,lambda_p,reps
0,multinomial,0.1,0.9715,0.9714698855860184,4.74720978438757,0.28975960148637603,0.0021409295430290295,0.28997369444067894,0.91,0,45000.0,5,0.005,0.0001,10
1,multinomial,0.1,0.9835,0.9835001848910913,4.448717597522837,0.28896867240256985,0.001843303417715139,0.2891530027443413,0.94,0,60000.0,5,0.005,0.0001,10
2,multinomial,0.1,0.96425,0.9640465071072645,4.787266282841705,0.28599369057210766,0.0016477647649345071,0.28615846704860115,1.0,0,59500.0,5,0.005,0.0001,10
3,multinomial,0.1,0.96575,0.9657551225184983,4.159164716124882,0.3015830197385848,0.002112896576023031,0.3017943093961871,0.87,0,51500.0,5,0.005,0.0001,10
4,multinomial,0.1,0.97825,0.978158395683119,4.530360719342222,0.29327030273883714,0.0018266737522745682,0.29345297011406457,1.0,0,19500.0,5,0.005,0.0001,10
5,multinomial,0.1,0.88525,0.883971710280546,4.854364846105978,0.289711215378231,0.00181553067283526,0.28989276844551465,0.93,0,21500.0,5,0.005,0.0001,10
6,multinomial,0.1,0.97,0.9700200132541357,4.551837737191294,0.28970882479621485,0.0017260429831649055,0.2898814290945314,1.0,0,15000.0,5,0.005,0.0001,10
7,multinomial,0.1,0.9,0.896577530083849,5.157102563860904,0.270773599289884,0.0017549675579448508,0.27094909604567846,1.0,0,23000.0,5,0.005,0.0001,10
8,multinomial,0.1,0.97475,0.974727337571099,4.112524071285208,0.29510128597902086,0.0018041885608912386,0.2952817048351099,1.0,0,23500.0,5,0.005,0.0001,10
9,multinomial,0.1,0.889,0.889939100196251,4.944126354037071,0.27356496712291933,0.0016126064171263436,0.27372622776463196,0.99,0,20500.0,5,0.005,0.0001,10
10,multinomial,0.1,0.97,0.9699841351518406,4.604207801761702,0.2846156249482858,0.0017507959422691914,0.28479070454251276,1.0,0,37500.0,5,0.005,0.0001,10
