split,bootstrap,lambda_c,accuracy_test,f1_test,recall_test,Lrec_train,Lce_train,Ltot_train,stability,n_filter,epochs_mean,k,lr,lambda_p,reps
0,multinomial,0.0,0.93075,0.9311910887841641,4.489919371552912,0.2651434412995045,0.18314636124308226,0.2651434412995045,1.0,0,21000.0,5,0.005,0.0001,10
1,multinomial,0.0,0.98525,0.9852485493798967,4.214738518477513,0.26413440639196384,0.11844231642032757,0.26413440639196384,1.0,0,15000.0,5,0.005,0.0001,10
2,multinomial,0.0,0.924,0.9247340258702188,4.524746496194279,0.2619385019273163,0.18874259871609075,0.2619385019273163,1.0,0,15000.0,5,0.005,0.0001,10
3,multinomial,0.0,0.93375,0.9333371076550785,4.068468953111669,0.2727997726266459,0.2340683112996705,0.2727997726266459,1.0,0,21000.0,5,0.005,0.0001,10
4,multinomial,0.0,0.96875,0.968522700482065,4.288735368831741,0.2722822844521127,0.15491016740057229,0.2722822844521127,1.0,0,15000.0,5,0.005,0.0001,10
5,multinomial,0.0,0.851,0.8497819704265981,4.597208426654128,0.2652013707887204,0.10159016359324777,0.2652013707887204,1.0,0,15000.0,5,0.005,0.0001,10
6,multinomial,0.0,0.946,0.9464830823603501,4.308183143779356,0.26722014467722754,0.15162390612628918,0.26722014467722754,1.0,0,18500.0,5,0.005,0.0001,10
7,multinomial,0.0,0.87525,0.8696612830587518,4.982404814243318,0.248662286448487,0.06352866017342358,0.248662286448487,1.0,0,16500.0,5,0.005,0.0001,10
8,multinomial,0.0,0.9555,0.9554963259769813,3.948126932285695,0.27380673227830205,0.18481109625432607,0.27380673227830205,1.0,0,17000.0,5,0.005,0.0001,10
9,multinomial,0.0,0.882,0.8816022291262144,4.761584587723186,0.25248132188062666,0.060836843564762245,0.25248132188062666,1.0,0,15500.0,5,0.005,0.0001,10
10,multinomial,0.0,0.96225,0.9621898348393555,4.39872759046169,0.2651203202788414,0.12385884049298823,0.2651203202788414,1.0,0,15000.0,5,0.005,0.0001,10
