Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
EXO1_0_real_train1	1.08E-34	3.89E-40	5.91E-02	0.00E+00	5.65E-02	2.87E-68	1.76E-03	1.14E-68	1.02E-01	2.35E-146	2.84E-29
OGG1_0_real_train1	7.49E-03	2.43E-03	1.80E-03	3.95E-03	1.28E-10	3.41E-03	8.11E-03	4.89E-03	3.63E-16	1.15E-02	6.14E-03
RNF168_0_real_train1	1.76E-02	1.53E-127	1.80E-69	3.98E-03	1.14E-02	4.91E-03	9.81E-03	5.27E-65	1.31E-52	1.13E-03	2.74E-03
UNG_0_real_train1	2.48E-04	3.34E-101	1.06E-02	5.90E-03	3.83E-03	8.46E-02	8.19E-03	6.36E-41	8.66E-02	3.58E-03	6.27E-03
ATP2B4_0_real_train1	2.47E-23	3.35E-03	6.96E-03	2.28E-04	8.36E-03	1.40E-02	6.77E-02	0.00E+00	1.35E-02	8.09E-02	9.42E-03
ATP2B4_1_real_train1	1.11E-02	1.28E-02	5.83E-03	1.97E-21	9.55E-47	2.72E-03	9.81E-02	6.81E-03	5.28E-36	9.60E-02	9.92E-03
MLH1_0_real_train1	4.85E-60	2.23E-02	3.45E-134	1.70E-03	3.11E-02	1.83E-04	2.17E-04	1.07E-16	7.75E-32	4.41E-03	3.39E-04
MSH2_0_real_train1	1.22E-01	4.73E-02	1.74E-02	1.86E-03	5.22E-03	3.58E-03	6.72E-03	5.53E-26	1.73E-03	2.14E-03	1.46E-01
MSH6_0_real_train1	1.04E-01	1.00E-26	6.89E-02	1.18E-03	2.80E-02	1.01E-03	9.64E-04	4.02E-03	2.95E-04	1.50E-03	1.00E-26
MSH6_1_real_train1	1.06E-01	1.00E-26	6.86E-02	2.99E-03	2.70E-02	1.75E-26	1.00E-26	1.00E-26	1.82E-21	3.79E-03	1.00E-26
PMS1_0_real_train1	3.99E-125	1.52E-134	4.94E-03	3.43E-03	1.06E-40	6.51E-03	5.04E-12	1.40E-02	6.53E-03	1.97E-02	5.80E-03
PMS2_0_real_train1	1.24E-03	1.11E-03	9.15E-02	1.71E-03	1.00E-26	3.18E-03	1.55E-03	2.51E-03	1.00E-26	1.39E-03	9.13E-03
