NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.386	38.645	0.059	28.82	0.212	0.918	15000.0
2	0.386	38.644	0.059	28.82	0.212	0.918	15000.0
3	0.386	38.643	0.059	28.822	0.213	0.918	15000.0
4	0.386	38.644	0.059	28.821	0.212	0.918	15000.0
5	0.386	38.644	0.059	28.82	0.214	0.918	15000.0
6	0.386	38.645	0.059	28.82	0.212	0.918	15000.0
7	0.386	38.645	0.059	28.821	0.213	0.918	15000.0
8	0.386	38.644	0.059	28.821	0.212	0.918	15000.0
9	0.386	38.644	0.059	28.822	0.212	0.918	15000.0
10	0.386	38.645	0.059	28.82	0.212	0.918	15000.0
