Samples	SBS96A	SBS96B	SBS96C	SBS96D
EXO1_0_real_train1	1.00E-26	7.36E-42	8.47E-42	1.00E-26
OGG1_0_real_train1	6.13E-03	7.28E-02	7.95E-02	5.73E-02
RNF168_0_real_train1	1.30E-01	1.63E-26	2.92E-02	5.33E-02
UNG_0_real_train1	5.89E-02	1.03E-01	1.68E-02	3.20E-03
ATP2B4_0_real_train1	6.15E-02	9.89E-02	5.82E-02	9.12E-02
ATP2B4_1_real_train1	5.87E-02	1.08E-01	6.16E-02	1.00E-01
MLH1_0_real_train1	1.35E-01	1.51E-26	3.17E-03	1.06E-01
MSH2_0_real_train1	1.04E-41	1.00E-26	8.47E-42	1.00E-26
MSH6_0_real_train1	1.44E-01	1.33E-26	6.51E-03	1.63E-03
MSH6_1_real_train1	1.46E-01	1.33E-26	6.55E-03	1.33E-26
PMS1_0_real_train1	9.62E-02	5.53E-02	1.51E-01	1.18E-01
PMS2_0_real_train1	1.52E-01	1.53E-26	5.33E-03	5.54E-03
EXO1_0_multinomial_train1	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.1	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.2	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.3	1.00E-26	7.36E-42	8.47E-42	1.04E-41
EXO1_0_multinomial_train1.4	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.5	1.00E-26	7.36E-42	8.47E-42	1.04E-41
EXO1_0_multinomial_train1.6	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.7	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.8	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.9	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.10	1.04E-41	7.36E-42	8.47E-42	1.04E-41
EXO1_0_multinomial_train1.11	1.00E-26	7.36E-42	8.47E-42	1.04E-41
EXO1_0_multinomial_train1.12	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.13	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.14	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.15	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.16	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.17	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.18	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.19	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.20	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.21	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.22	1.00E-26	7.36E-42	8.47E-42	1.04E-41
EXO1_0_multinomial_train1.23	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.24	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.25	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.26	1.04E-41	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.27	1.00E-26	7.36E-42	8.47E-42	1.00E-26
EXO1_0_multinomial_train1.28	1.04E-41	7.36E-42	8.47E-42	1.04E-41
EXO1_0_multinomial_train1.29	1.00E-26	7.36E-42	8.47E-42	1.00E-26
