Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
EXO1_0_real_train1	3.46E-02	1.29E-01	1.28E-01	0.00E+00	1.04E-03	1.15E-98	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OGG1_0_real_train1	8.96E-03	1.72E-03	3.32E-42	1.05E-01	2.30E-28	6.63E-03	1.08E-01	5.93E-03	1.24E-02	1.19E-02
RNF168_0_real_train1	2.67E-02	3.32E-11	1.47E-01	6.30E-03	3.69E-03	0.00E+00	6.35E-03	7.01E-127	1.50E-01	4.87E-02
UNG_0_real_train1	1.11E-01	1.35E-02	1.53E-03	5.74E-03	1.11E-01	2.94E-68	1.97E-02	2.53E-02	6.59E-02	4.30E-03
ATP2B4_0_real_train1	1.26E-02	9.15E-03	1.23E-02	4.49E-03	8.04E-02	8.14E-04	9.14E-02	2.99E-03	2.04E-02	1.16E-02
ATP2B4_1_real_train1	1.57E-02	5.02E-03	0.00E+00	2.91E-03	1.05E-01	9.00E-03	1.09E-01	7.12E-03	2.09E-02	2.97E-02
MLH1_0_real_train1	1.77E-01	5.35E-02	9.31E-06	2.05E-03	6.90E-02	9.91E-02	3.12E-03	1.24E-01	4.12E-03	4.91E-03
MSH2_0_real_train1	1.11E-101	7.74E-04	1.64E-122	7.51E-04	3.64E-03	1.21E-01	2.82E-02	6.14E-59	6.32E-02	1.22E-01
MSH6_0_real_train1	1.68E-01	1.01E-03	1.09E-40	3.12E-03	8.27E-04	1.22E-01	3.23E-04	6.83E-03	1.23E-01	1.63E-01
MSH6_1_real_train1	1.71E-01	1.48E-03	1.27E-146	3.19E-03	1.86E-03	1.24E-01	6.92E-10	1.00E-109	1.24E-01	1.63E-01
PMS1_0_real_train1	1.27E-02	3.76E-03	7.71E-03	1.06E-01	3.72E-27	0.00E+00	2.44E-74	1.11E-01	1.89E-02	2.53E-02
PMS2_0_real_train1	1.47E-03	1.12E-01	1.25E-26	2.40E-03	4.08E-03	2.43E-04	1.97E-02	6.79E-03	2.11E-02	2.32E-03
EXO1_0_multinomial_train1	3.40E-02	1.28E-01	1.27E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.26E-04	9.31E-04
EXO1_0_multinomial_train1.1	3.57E-02	1.28E-01	1.27E-01	9.84E-134	3.10E-03	1.25E-03	0.00E+00	1.11E-52	1.05E-03	1.50E-68
EXO1_0_multinomial_train1.2	3.45E-02	1.28E-01	1.27E-01	0.00E+00	1.80E-120	1.36E-162	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.3	3.48E-02	1.32E-01	1.32E-01	1.34E-86	5.13E-03	6.55E-05	0.00E+00	1.33E-95	1.97E-03	0.00E+00
EXO1_0_multinomial_train1.4	3.22E-02	1.28E-01	1.28E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.75E-27	0.00E+00
EXO1_0_multinomial_train1.5	3.47E-02	1.28E-01	1.29E-01	1.40E-03	3.68E-03	4.58E-70	0.00E+00	1.69E-03	7.99E-04	0.00E+00
EXO1_0_multinomial_train1.6	3.48E-02	1.27E-01	1.27E-01	2.23E-30	0.00E+00	6.85E-04	1.83E-32	0.00E+00	4.88E-04	1.01E-03
EXO1_0_multinomial_train1.7	3.45E-02	1.26E-01	1.26E-01	0.00E+00	1.99E-32	8.85E-05	0.00E+00	0.00E+00	8.34E-27	0.00E+00
EXO1_0_multinomial_train1.8	3.54E-02	1.30E-01	1.28E-01	0.00E+00	1.01E-04	5.32E-04	0.00E+00	4.76E-116	0.00E+00	7.86E-163
EXO1_0_multinomial_train1.9	3.45E-02	1.30E-01	1.30E-01	0.00E+00	5.60E-99	2.84E-128	0.00E+00	0.00E+00	2.46E-31	0.00E+00
EXO1_0_multinomial_train1.10	3.53E-02	1.30E-01	1.30E-01	1.08E-65	4.53E-03	3.10E-04	0.00E+00	3.24E-26	1.43E-03	0.00E+00
EXO1_0_multinomial_train1.11	3.43E-02	1.26E-01	1.26E-01	2.71E-03	2.75E-03	0.00E+00	0.00E+00	3.49E-03	2.26E-28	0.00E+00
EXO1_0_multinomial_train1.12	3.42E-02	1.27E-01	1.27E-01	5.32E-04	0.00E+00	5.25E-106	1.70E-119	1.16E-51	1.55E-03	2.34E-03
EXO1_0_multinomial_train1.13	3.46E-02	1.28E-01	1.27E-01	0.00E+00	1.53E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.14	3.44E-02	1.28E-01	1.28E-01	0.00E+00	3.06E-107	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.15	3.60E-02	1.27E-01	1.27E-01	0.00E+00	2.22E-03	2.20E-03	0.00E+00	1.07E-03	0.00E+00	6.97E-16
EXO1_0_multinomial_train1.16	3.47E-02	1.29E-01	1.28E-01	0.00E+00	0.00E+00	6.19E-61	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.17	3.66E-02	1.28E-01	1.27E-01	0.00E+00	2.64E-03	3.57E-03	0.00E+00	2.53E-03	0.00E+00	1.55E-21
EXO1_0_multinomial_train1.18	3.31E-02	1.27E-01	1.26E-01	1.85E-03	0.00E+00	0.00E+00	1.32E-03	0.00E+00	2.16E-31	6.13E-04
EXO1_0_multinomial_train1.19	3.48E-02	1.30E-01	1.29E-01	0.00E+00	8.81E-42	4.25E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.20	3.45E-02	1.28E-01	1.28E-01	0.00E+00	6.67E-13	2.07E-04	0.00E+00	0.00E+00	3.47E-32	2.45E-04
EXO1_0_multinomial_train1.21	3.56E-02	1.26E-01	1.26E-01	0.00E+00	2.89E-04	2.85E-03	0.00E+00	3.84E-24	5.39E-28	7.88E-103
EXO1_0_multinomial_train1.22	3.57E-02	1.28E-01	1.27E-01	3.65E-03	5.31E-03	7.21E-04	0.00E+00	4.48E-03	9.43E-04	5.62E-145
EXO1_0_multinomial_train1.23	3.40E-02	1.27E-01	1.28E-01	5.88E-162	3.38E-03	0.00E+00	0.00E+00	4.89E-61	7.85E-27	0.00E+00
EXO1_0_multinomial_train1.24	3.57E-02	1.30E-01	1.29E-01	0.00E+00	2.85E-03	1.52E-03	0.00E+00	3.16E-55	0.00E+00	6.18E-90
EXO1_0_multinomial_train1.25	3.52E-02	1.28E-01	1.27E-01	5.22E-154	1.86E-03	6.50E-04	0.00E+00	5.56E-129	0.00E+00	1.05E-98
EXO1_0_multinomial_train1.26	3.54E-02	1.31E-01	1.30E-01	0.00E+00	2.93E-03	2.65E-04	0.00E+00	9.48E-147	1.13E-29	2.61E-140
EXO1_0_multinomial_train1.27	3.55E-02	1.26E-01	1.26E-01	0.00E+00	2.02E-03	1.79E-03	0.00E+00	7.36E-92	4.81E-28	8.48E-135
EXO1_0_multinomial_train1.28	3.79E-02	1.29E-01	1.28E-01	1.34E-03	4.82E-03	5.34E-03	0.00E+00	1.53E-03	1.57E-03	4.06E-03
EXO1_0_multinomial_train1.29	3.48E-02	1.29E-01	1.28E-01	0.00E+00	0.00E+00	2.44E-57	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.30	3.51E-02	1.28E-01	1.27E-01	0.00E+00	3.85E-35	1.29E-03	0.00E+00	0.00E+00	0.00E+00	1.40E-17
EXO1_0_multinomial_train1.31	3.40E-02	1.28E-01	1.27E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.32	3.37E-02	1.32E-01	1.31E-01	0.00E+00	9.30E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.33	3.58E-02	1.33E-01	1.31E-01	1.23E-78	1.20E-03	1.39E-03	0.00E+00	6.53E-95	8.42E-04	2.11E-106
EXO1_0_multinomial_train1.34	3.46E-02	1.30E-01	1.30E-01	1.74E-153	3.41E-03	1.33E-04	0.00E+00	3.10E-109	0.00E+00	1.50E-57
EXO1_0_multinomial_train1.35	3.53E-02	1.28E-01	1.27E-01	8.52E-88	2.89E-03	1.21E-03	4.84E-162	9.50E-71	0.00E+00	6.31E-94
EXO1_0_multinomial_train1.36	3.40E-02	1.26E-01	1.26E-01	0.00E+00	0.00E+00	2.17E-160	0.00E+00	0.00E+00	2.36E-32	0.00E+00
EXO1_0_multinomial_train1.37	3.50E-02	1.28E-01	1.28E-01	5.08E-04	7.98E-04	5.00E-04	7.68E-86	2.74E-63	1.69E-03	2.56E-03
EXO1_0_multinomial_train1.38	3.40E-02	1.31E-01	1.29E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.39	3.32E-02	1.30E-01	1.29E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.40	3.17E-02	1.31E-01	1.30E-01	6.99E-40	3.11E-03	0.00E+00	5.52E-88	1.11E-03	2.90E-33	0.00E+00
EXO1_0_multinomial_train1.41	3.38E-02	1.27E-01	1.27E-01	0.00E+00	2.65E-03	0.00E+00	0.00E+00	6.03E-140	1.38E-28	0.00E+00
EXO1_0_multinomial_train1.42	3.30E-02	1.32E-01	1.31E-01	6.94E-94	2.26E-03	0.00E+00	0.00E+00	3.51E-38	1.79E-135	0.00E+00
EXO1_0_multinomial_train1.43	3.48E-02	1.27E-01	1.26E-01	0.00E+00	0.00E+00	6.80E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.44	3.56E-02	1.29E-01	1.27E-01	0.00E+00	2.68E-03	1.38E-03	0.00E+00	2.47E-40	0.00E+00	4.90E-54
EXO1_0_multinomial_train1.45	3.55E-02	1.28E-01	1.27E-01	1.25E-100	1.04E-13	1.83E-03	1.73E-127	1.66E-91	7.37E-04	1.28E-03
EXO1_0_multinomial_train1.46	3.50E-02	1.29E-01	1.28E-01	1.71E-44	1.50E-100	8.55E-04	5.69E-158	0.00E+00	0.00E+00	1.03E-160
EXO1_0_multinomial_train1.47	3.23E-02	1.31E-01	1.29E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.48	3.66E-02	1.29E-01	1.28E-01	0.00E+00	3.35E-03	5.32E-03	0.00E+00	4.18E-03	0.00E+00	1.34E-12
EXO1_0_multinomial_train1.49	3.20E-02	1.27E-01	1.27E-01	1.88E-03	1.67E-03	0.00E+00	1.84E-03	1.28E-03	7.80E-27	1.60E-03
EXO1_0_multinomial_train1.50	3.45E-02	1.28E-01	1.28E-01	0.00E+00	1.37E-03	0.00E+00	0.00E+00	0.00E+00	1.56E-03	0.00E+00
EXO1_0_multinomial_train1.51	3.39E-02	1.29E-01	1.28E-01	0.00E+00	7.27E-64	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.52	3.34E-02	1.29E-01	1.28E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.53	3.28E-02	1.31E-01	1.30E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.23E-124	6.36E-04	0.00E+00
EXO1_0_multinomial_train1.54	3.31E-02	1.30E-01	1.30E-01	4.17E-04	0.00E+00	0.00E+00	3.77E-147	0.00E+00	1.48E-03	2.50E-03
EXO1_0_multinomial_train1.55	3.59E-02	1.29E-01	1.28E-01	0.00E+00	1.36E-03	2.34E-03	0.00E+00	1.63E-32	1.09E-03	7.84E-04
EXO1_0_multinomial_train1.56	3.59E-02	1.26E-01	1.26E-01	0.00E+00	8.93E-04	2.93E-03	0.00E+00	1.14E-03	0.00E+00	8.93E-06
EXO1_0_multinomial_train1.57	3.49E-02	1.27E-01	1.27E-01	4.43E-123	1.57E-03	3.86E-04	0.00E+00	6.01E-94	1.52E-03	0.00E+00
EXO1_0_multinomial_train1.58	3.57E-02	1.29E-01	1.27E-01	0.00E+00	2.68E-03	3.39E-03	0.00E+00	1.90E-108	0.00E+00	2.71E-03
EXO1_0_multinomial_train1.59	3.41E-02	1.29E-01	1.28E-01	3.67E-79	2.42E-03	0.00E+00	0.00E+00	1.85E-04	7.91E-04	0.00E+00
EXO1_0_multinomial_train1.60	3.44E-02	1.30E-01	1.29E-01	3.59E-04	1.73E-03	5.33E-162	6.12E-51	2.64E-143	9.71E-04	0.00E+00
EXO1_0_multinomial_train1.61	3.44E-02	1.28E-01	1.28E-01	0.00E+00	1.30E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.62	3.43E-02	1.28E-01	1.27E-01	0.00E+00	0.00E+00	1.98E-145	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.63	3.29E-02	1.28E-01	1.28E-01	0.00E+00	4.52E-131	0.00E+00	0.00E+00	0.00E+00	7.82E-29	1.96E-64
EXO1_0_multinomial_train1.64	3.41E-02	1.30E-01	1.29E-01	0.00E+00	1.60E-03	0.00E+00	0.00E+00	0.00E+00	7.35E-38	7.87E-04
EXO1_0_multinomial_train1.65	3.41E-02	1.28E-01	1.27E-01	1.31E-03	8.38E-19	2.44E-152	9.08E-04	0.00E+00	6.59E-04	0.00E+00
EXO1_0_multinomial_train1.66	3.49E-02	1.30E-01	1.29E-01	0.00E+00	2.85E-03	1.01E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.67	3.26E-02	1.27E-01	1.27E-01	0.00E+00	1.13E-110	0.00E+00	0.00E+00	0.00E+00	2.60E-24	7.94E-04
EXO1_0_multinomial_train1.68	3.59E-02	1.34E-01	1.28E-01	6.01E-21	6.12E-03	2.70E-03	2.29E-04	2.26E-32	8.17E-04	1.25E-03
EXO1_0_multinomial_train1.69	3.67E-02	1.24E-01	1.23E-01	0.00E+00	2.41E-03	5.39E-03	0.00E+00	2.78E-36	4.57E-32	3.53E-03
EXO1_0_multinomial_train1.70	3.24E-02	1.27E-01	1.27E-01	9.89E-04	0.00E+00	0.00E+00	6.06E-04	0.00E+00	7.45E-04	0.00E+00
EXO1_0_multinomial_train1.71	3.55E-02	1.31E-01	1.30E-01	0.00E+00	9.26E-16	1.76E-03	0.00E+00	7.64E-93	1.11E-03	1.39E-44
EXO1_0_multinomial_train1.72	3.38E-02	1.29E-01	1.28E-01	2.76E-145	1.66E-19	0.00E+00	3.14E-124	0.00E+00	6.90E-04	1.28E-03
EXO1_0_multinomial_train1.73	3.65E-02	1.27E-01	1.27E-01	2.86E-40	3.56E-03	3.72E-03	0.00E+00	2.05E-03	0.00E+00	1.73E-13
