NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.404	40.43	0.064	31.155	0.23	0.906	15000.0
2	0.409	40.856	0.065	31.35	0.246	0.905	15000.0
3	0.404	40.446	0.064	31.167	0.249	0.906	15000.0
4	0.408	40.846	0.065	31.34	0.252	0.905	50000.0
5	0.404	40.433	0.064	31.153	0.239	0.906	20000.0
6	0.409	40.854	0.065	31.344	0.239	0.905	20000.0
7	0.409	40.86	0.065	31.355	0.239	0.905	15000.0
8	0.409	40.888	0.065	31.395	0.273	0.905	15000.0
9	0.404	40.44	0.064	31.165	0.243	0.906	15000.0
10	0.409	40.851	0.065	31.343	0.233	0.905	15000.0
