NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.649	64.949	0.104	48.141	0.61	0.79	30000.0
2	0.65	64.959	0.104	48.148	0.65	0.79	20000.0
3	0.649	64.948	0.104	48.141	0.592	0.79	15000.0
4	0.649	64.948	0.104	48.141	0.625	0.79	50000.0
5	0.649	64.949	0.104	48.141	0.587	0.79	15000.0
6	0.66	65.982	0.106	48.834	0.813	0.782	15000.0
7	0.649	64.948	0.104	48.143	0.592	0.79	15000.0
8	0.649	64.949	0.104	48.141	0.603	0.79	25000.0
9	0.659	65.91	0.106	48.766	0.721	0.783	15000.0
10	0.65	64.95	0.104	48.147	0.595	0.79	15000.0
