NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.681	68.145	0.115	61.499	240.058	0.695	20000.0
2	0.766	76.646	0.169	78.361	265.12	0.696	15000.0
3	0.704	70.354	0.119	63.896	254.838	0.62	15000.0
4	0.638	63.838	0.107	56.744	432.482	0.788	25000.0
5	0.683	68.327	0.113	59.844	315.252	0.686	15000.0
6	0.799	79.944	0.14	75.621	9.113	0.533	15000.0
7	0.704	70.4	0.12	64.199	184.92	0.624	15000.0
8	0.667	66.69	0.111	60.467	108.493	0.717	15000.0
9	0.666	66.582	0.111	60.37	151.125	0.715	15000.0
10	0.692	69.16	0.119	62.724	659.473	0.696	60000.0
