NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.091	56.815	0.054	99.774	0.249	0.636	20000.0
2	0.09	47.122	0.052	99.584	0.215	0.626	30000.0
3	0.087	65.903	0.05	99.381	0.346	0.663	20000.0
4	0.086	65.81	0.05	99.358	0.322	0.666	30000.0
5	0.081	55.767	0.047	99.074	0.276	0.676	20000.0
6	0.092	47.366	0.054	99.834	0.202	0.621	30000.0
7	0.09	47.139	0.052	99.637	0.217	0.631	20000.0
8	0.089	56.548	0.051	99.522	0.253	0.639	20000.0
9	0.084	46.518	0.049	99.323	0.21	0.666	20000.0
10	0.084	46.532	0.05	99.378	0.213	0.662	30000.0
