NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.112	77.947	0.061	100.478	0.403	0.526	30000.0
2	0.113	78.077	0.061	100.451	0.426	0.513	30000.0
3	0.112	77.94	0.061	100.466	0.413	0.533	30000.0
4	0.11	77.783	0.06	100.391	0.398	0.533	30000.0
5	0.105	67.681	0.058	100.15	0.32	0.57	30000.0
6	0.118	78.536	0.064	100.79	0.458	0.493	20000.0
7	0.115	78.214	0.062	100.623	0.421	0.515	20000.0
8	0.116	68.767	0.064	100.762	0.387	0.501	30000.0
9	0.108	87.075	0.058	100.166	0.512	0.567	30000.0
10	0.108	77.586	0.059	100.282	0.432	0.557	20000.0
