NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.637	63.749	0.106	50.118	7.129	0.788	20000.0
2	0.618	61.786	0.101	50.5	0.692	0.807	15000.0
3	0.69	68.993	0.117	61.237	0.345	0.794	15000.0
4	0.588	58.836	0.094	47.262	82.004	0.81	30000.0
5	0.631	63.117	0.107	51.235	0.406	0.801	15000.0
6	0.639	63.939	0.107	51.135	0.517	0.795	15000.0
7	0.613	61.295	0.099	47.634	0.623	0.813	15000.0
8	0.71	70.967	0.133	69.906	3.738	0.785	15000.0
9	0.836	83.572	0.176	95.282	1.546	0.785	25000.0
10	0.615	61.472	0.099	47.612	88.034	0.809	20000.0
