NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.311	31.11	0.048	23.917	9.451	0.943	25000.0
2	0.307	30.689	0.048	23.487	0.14	0.947	15000.0
3	0.33	33.033	0.051	25.208	13.024	0.939	15000.0
4	0.316	31.642	0.049	24.569	1.577	0.939	35000.0
5	0.313	31.263	0.048	23.991	0.168	0.947	15000.0
6	0.307	30.696	0.048	23.477	0.139	0.947	95000.0
7	0.313	31.255	0.048	23.773	0.148	0.947	20000.0
8	0.384	38.415	0.061	31.615	0.196	0.876	15000.0
9	0.314	31.445	0.049	24.375	0.17	0.945	15000.0
10	0.366	36.593	0.059	29.523	0.529	0.91	15000.0
