NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.669	66.89	0.109	50.12	0.482	0.776	30000.0
2	0.668	66.793	0.109	49.903	0.558	0.779	25000.0
3	0.66	65.976	0.108	49.516	0.509	0.782	15000.0
4	0.667	66.734	0.109	49.869	0.508	0.779	15000.0
5	0.668	66.775	0.109	49.894	0.503	0.779	30000.0
6	0.668	66.776	0.109	49.898	0.509	0.779	15000.0
7	0.667	66.723	0.109	49.869	0.555	0.779	20000.0
8	0.668	66.762	0.109	49.89	0.508	0.779	15000.0
9	0.667	66.673	0.109	49.826	0.506	0.78	30000.0
10	0.662	66.183	0.108	49.589	0.539	0.781	25000.0
