NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.076	45.693	0.046	99.027	0.209	0.706	30000.0
2	0.076	55.238	0.045	98.848	0.228	0.702	20000.0
3	0.076	55.276	0.045	98.857	0.24	0.702	30000.0
4	0.065	6.392	0.04	4.018	0.057	0.733	30000.0
5	0.064	44.523	0.038	98.242	0.183	0.756	50000.0
6	0.074	26.469	0.046	98.98	0.128	0.696	40000.0
7	0.075	55.178	0.043	98.699	0.231	0.703	20000.0
8	0.069	35.481	0.041	98.521	0.165	0.724	30000.0
9	0.066	54.286	0.038	98.211	0.245	0.742	40000.0
10	0.065	44.69	0.039	98.343	0.184	0.749	50000.0
