NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.669	66.9	0.109	50.372	0.573	0.771	35000.0
2	0.667	66.72	0.109	50.284	0.498	0.772	20000.0
3	0.668	66.821	0.109	50.327	0.498	0.771	35000.0
4	0.669	66.946	0.109	50.407	0.499	0.771	35000.0
5	0.662	66.241	0.109	50.125	0.523	0.773	15000.0
6	0.669	66.907	0.109	50.382	0.532	0.771	15000.0
7	0.664	66.383	0.109	50.185	0.495	0.772	15000.0
8	0.667	66.748	0.109	50.303	0.498	0.772	25000.0
9	0.669	66.948	0.109	50.405	0.498	0.771	25000.0
10	0.669	66.894	0.109	50.373	0.498	0.771	25000.0
