NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.414	41.366	0.066	31.557	0.24	0.903	15000.0
2	0.414	41.377	0.066	31.553	0.255	0.903	45000.0
3	0.414	41.371	0.066	31.571	0.247	0.902	40000.0
4	0.414	41.354	0.065	31.555	0.24	0.902	15000.0
5	0.41	40.974	0.065	31.369	0.244	0.904	15000.0
6	0.41	40.96	0.065	31.356	0.243	0.904	30000.0
7	0.41	40.992	0.065	31.388	0.241	0.904	15000.0
8	0.411	41.075	0.065	31.41	0.242	0.903	15000.0
9	0.414	41.387	0.066	31.571	0.246	0.902	15000.0
10	0.414	41.386	0.066	31.57	0.245	0.902	30000.0
