NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.403	40.342	0.063	30.733	0.262	0.907	15000.0
2	0.403	40.278	0.063	30.703	0.261	0.907	15000.0
3	0.453	45.281	0.071	34.784	4.319	0.879	15000.0
4	0.405	40.487	0.064	30.793	0.252	0.907	15000.0
5	0.454	45.351	0.071	34.83	0.784	0.879	15000.0
6	0.407	40.69	0.064	30.903	0.263	0.906	15000.0
7	0.403	40.277	0.063	30.703	0.261	0.907	15000.0
8	0.403	40.324	0.063	30.72	0.257	0.907	15000.0
9	0.403	40.274	0.063	30.707	0.255	0.907	15000.0
10	0.407	40.685	0.064	30.895	0.26	0.906	15000.0
11	0.403	40.278	0.063	30.701	0.258	0.907	15000.0
12	0.407	40.678	0.064	30.899	0.256	0.906	15000.0
13	0.407	40.686	0.064	30.897	0.262	0.906	15000.0
14	0.407	40.684	0.064	30.897	0.266	0.906	15000.0
15	0.407	40.684	0.064	30.896	0.265	0.906	15000.0
16	0.453	45.276	0.071	34.78	5.149	0.879	15000.0
17	0.407	40.688	0.064	30.898	0.259	0.906	15000.0
18	0.406	40.617	0.064	30.856	0.258	0.906	15000.0
19	0.453	45.285	0.071	34.79	3.434	0.879	15000.0
20	0.407	40.674	0.064	30.886	0.265	0.906	15000.0
21	0.403	40.28	0.063	30.711	0.259	0.907	15000.0
22	0.407	40.678	0.064	30.896	0.274	0.906	15000.0
23	0.407	40.691	0.064	30.902	0.264	0.906	15000.0
24	0.403	40.278	0.063	30.705	0.261	0.907	15000.0
25	0.407	40.715	0.064	30.921	0.283	0.906	15000.0
26	0.407	40.688	0.064	30.9	0.262	0.906	15000.0
27	0.407	40.659	0.064	30.878	0.256	0.906	15000.0
28	0.407	40.666	0.064	30.886	0.261	0.906	15000.0
29	0.407	40.684	0.064	30.892	0.266	0.906	15000.0
30	0.453	45.306	0.071	34.819	1.691	0.879	15000.0
31	0.407	40.676	0.064	30.886	0.261	0.906	15000.0
32	0.407	40.687	0.064	30.901	0.258	0.906	15000.0
33	0.403	40.284	0.063	30.704	0.261	0.907	15000.0
34	0.403	40.278	0.063	30.708	0.257	0.907	15000.0
35	0.407	40.682	0.064	30.893	0.26	0.906	15000.0
36	0.403	40.28	0.063	30.714	0.259	0.907	15000.0
37	0.407	40.682	0.064	30.895	0.261	0.906	15000.0
38	0.403	40.278	0.063	30.706	0.259	0.907	15000.0
39	0.407	40.685	0.064	30.896	0.262	0.906	15000.0
40	0.407	40.683	0.064	30.894	0.262	0.906	15000.0
41	0.407	40.684	0.064	30.901	0.269	0.906	15000.0
42	0.407	40.677	0.064	30.89	0.256	0.906	15000.0
43	0.407	40.681	0.064	30.896	0.261	0.906	15000.0
44	0.407	40.69	0.064	30.897	0.263	0.906	15000.0
45	0.406	40.603	0.064	30.857	0.256	0.906	15000.0
46	0.403	40.281	0.063	30.71	0.259	0.907	15000.0
47	0.403	40.349	0.063	30.722	0.266	0.907	15000.0
48	0.453	45.283	0.071	34.764	1.765	0.879	15000.0
49	0.403	40.278	0.063	30.703	0.256	0.907	15000.0
50	0.407	40.685	0.064	30.898	0.265	0.906	15000.0
