NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.413	41.292	0.066	31.533	0.265	0.903	40000.0
2	0.413	41.285	0.066	31.532	1.131	0.903	55000.0
3	0.409	40.91	0.065	31.357	0.277	0.904	55000.0
4	0.413	41.278	0.066	31.529	1.167	0.903	105000.0
5	0.454	45.397	0.072	34.754	0.747	0.88	15000.0
6	0.455	45.453	0.072	34.848	0.584	0.879	15000.0
7	0.413	41.285	0.066	31.529	1.126	0.903	70000.0
8	0.409	40.894	0.065	31.351	1.102	0.905	70000.0
9	0.409	40.912	0.065	31.367	1.107	0.904	15000.0
10	0.413	41.284	0.066	31.529	1.124	0.903	75000.0
