NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	151.759	78.921	30.321	52.544	0.692	0.758	40000.0
2	152.869	78.5	30.581	51.808	0.675	0.766	30000.0
3	151.828	78.717	30.376	52.489	0.685	0.76	50000.0
4	151.352	78.881	29.01	52.21	0.691	0.762	30000.0
5	150.286	78.127	28.046	51.501	0.685	0.769	30000.0
6	152.979	78.043	30.523	51.428	0.67	0.771	50000.0
7	153.214	78.687	30.606	52.015	0.681	0.763	40000.0
8	151.557	78.898	30.336	52.524	0.693	0.758	50000.0
9	153.203	78.347	30.607	51.722	0.673	0.767	30000.0
10	157.272	78.444	32.082	51.995	0.672	0.766	30000.0
