NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.078	26.822	0.047	99.095	0.135	0.678	20000.0
2	0.082	55.917	0.048	99.158	0.291	0.671	30000.0
3	0.081	55.821	0.048	99.179	0.234	0.679	40000.0
4	0.077	26.763	0.048	99.156	0.134	0.689	30000.0
5	0.077	45.825	0.046	98.994	0.197	0.699	30000.0
6	0.084	56.078	0.05	99.355	0.23	0.672	30000.0
7	0.077	26.762	0.046	98.992	0.138	0.676	30000.0
8	0.085	56.14	0.05	99.366	0.256	0.673	20000.0
9	0.073	54.981	0.042	98.604	0.265	0.715	40000.0
10	0.074	16.871	0.046	99.013	0.099	0.695	30000.0
