NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.403	40.274	0.063	30.779	0.225	0.906	15000.0
2	0.403	40.27	0.063	30.782	0.246	0.906	70000.0
3	0.398	39.824	0.062	30.581	0.269	0.907	25000.0
4	0.451	45.1	0.07	34.745	0.603	0.878	15000.0
5	0.403	40.281	0.063	30.788	0.235	0.906	15000.0
6	0.403	40.28	0.063	30.787	0.222	0.906	15000.0
7	0.403	40.272	0.063	30.782	0.223	0.906	15000.0
8	0.403	40.276	0.063	30.783	0.222	0.906	15000.0
9	0.403	40.264	0.063	30.774	0.22	0.906	15000.0
10	0.398	39.825	0.062	30.581	0.225	0.907	15000.0
