NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.378	37.828	0.059	28.228	0.289	0.922	15000.0
2	0.378	37.828	0.059	28.229	0.286	0.922	15000.0
3	0.378	37.828	0.059	28.231	0.291	0.922	15000.0
4	0.378	37.829	0.059	28.229	0.284	0.922	15000.0
5	0.378	37.828	0.059	28.231	0.285	0.922	15000.0
6	0.378	37.828	0.059	28.231	0.282	0.922	15000.0
7	0.378	37.827	0.059	28.23	0.281	0.922	15000.0
8	0.378	37.828	0.059	28.23	0.288	0.922	15000.0
9	0.378	37.828	0.059	28.231	0.284	0.922	15000.0
10	0.378	37.826	0.059	28.231	0.28	0.922	15000.0
