NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.606	60.568	0.098	51.679	201.181	0.811	15000.0
2	0.556	55.595	0.092	44.43	494.324	0.851	25000.0
3	0.599	59.874	0.095	50.398	206.172	0.818	15000.0
4	0.588	58.792	0.127	51.583	111.379	0.849	15000.0
5	0.576	57.586	0.125	50.569	1.253	0.858	15000.0
6	0.575	57.529	0.125	50.515	0.355	0.858	15000.0
7	0.604	60.362	0.096	50.677	196.188	0.816	15000.0
8	0.518	51.839	0.084	40.624	55.793	0.845	15000.0
9	0.6	59.958	0.097	51.44	306.665	0.811	15000.0
10	0.508	50.786	0.083	39.29	0.288	0.86	25000.0
