NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.658	65.822	0.106	49.4	0.559	0.774	15000.0
2	0.64	64.04	0.104	48.003	0.521	0.792	15000.0
3	0.64	64.045	0.104	48.01	0.579	0.792	40000.0
4	0.64	64.03	0.104	48.01	0.516	0.792	15000.0
5	0.64	64.04	0.104	48.002	0.521	0.792	15000.0
6	0.64	64.041	0.104	48.004	0.52	0.792	15000.0
7	0.64	64.04	0.104	48.003	0.52	0.792	15000.0
8	0.64	64.039	0.104	48.003	0.517	0.792	15000.0
9	0.64	64.04	0.104	48.003	0.52	0.792	15000.0
10	0.64	64.041	0.104	48.004	0.514	0.792	15000.0
