NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.106	58.299	0.06	100.441	0.265	0.557	30000.0
2	0.104	67.624	0.057	100.13	0.355	0.563	40000.0
3	0.102	67.418	0.056	100.036	0.344	0.578	30000.0
4	0.103	77.041	0.058	194.555	0.425	0.589	30000.0
5	0.097	66.943	0.054	99.831	0.331	0.609	40000.0
6	0.108	67.983	0.06	100.403	0.326	0.555	20000.0
7	0.102	67.446	0.056	100.014	0.317	0.573	20000.0
8	0.105	77.24	0.058	100.211	0.378	0.561	20000.0
9	0.095	76.275	0.052	99.588	0.382	0.61	20000.0
10	0.095	57.175	0.054	99.76	0.292	0.608	20000.0
