NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.632	63.174	0.101	47.354	0.531	0.795	25000.0
2	0.632	63.157	0.101	47.327	0.483	0.795	15000.0
3	0.632	63.172	0.101	47.342	0.533	0.795	20000.0
4	0.632	63.158	0.101	47.327	0.483	0.795	15000.0
5	0.635	63.489	0.102	47.568	0.604	0.793	15000.0
6	0.632	63.162	0.101	47.336	0.498	0.795	15000.0
7	0.632	63.157	0.101	47.326	0.499	0.795	30000.0
8	0.632	63.165	0.101	47.336	0.512	0.795	15000.0
9	0.632	63.158	0.101	47.327	0.483	0.795	15000.0
10	0.641	64.062	0.103	48.102	0.618	0.786	15000.0
