NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.399	39.865	0.061	29.638	0.247	0.914	15000.0
2	0.399	39.864	0.061	29.638	0.245	0.914	15000.0
3	0.399	39.864	0.061	29.634	0.253	0.914	35000.0
4	0.399	39.864	0.061	29.637	0.247	0.914	15000.0
5	0.399	39.864	0.061	29.635	0.246	0.914	15000.0
6	0.399	39.864	0.061	29.638	0.247	0.914	15000.0
7	0.399	39.864	0.061	29.636	0.246	0.914	15000.0
8	0.399	39.865	0.061	29.638	0.246	0.914	15000.0
9	0.399	39.865	0.061	29.638	0.246	0.914	15000.0
10	0.399	39.864	0.061	29.637	0.245	0.914	15000.0
