NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.404	40.364	0.063	30.519	0.267	0.908	15000.0
2	0.404	40.358	0.063	30.515	0.26	0.908	15000.0
3	0.399	39.931	0.063	30.319	0.273	0.909	40000.0
4	0.404	40.351	0.063	30.507	0.278	0.908	65000.0
5	0.399	39.938	0.063	30.324	0.26	0.909	15000.0
6	0.403	40.349	0.063	30.505	0.282	0.908	105000.0
7	0.403	40.343	0.063	30.506	0.254	0.908	15000.0
8	0.399	39.93	0.063	30.319	0.283	0.909	105000.0
9	0.404	40.351	0.063	30.509	0.277	0.908	50000.0
10	0.399	39.944	0.063	30.334	0.254	0.909	15000.0
