NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.653	65.312	0.106	49.268	0.456	0.779	25000.0
2	0.651	65.061	0.106	49.137	0.453	0.78	20000.0
3	0.657	65.673	0.106	49.463	0.453	0.778	15000.0
4	0.651	65.077	0.106	49.146	0.451	0.78	30000.0
5	0.651	65.059	0.106	49.14	0.452	0.78	20000.0
6	0.657	65.667	0.106	49.457	0.453	0.778	30000.0
7	0.657	65.686	0.106	49.47	0.458	0.778	15000.0
8	0.652	65.217	0.106	49.211	0.452	0.779	20000.0
9	0.651	65.067	0.106	49.16	0.455	0.78	15000.0
10	0.657	65.667	0.106	49.457	0.454	0.778	30000.0
