Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
EXO1_0_real_train1	5.80E-03	8.36E-04	9.40E-24	5.17E-03	1.16E-03	1.07E-03	1.10E-02	2.89E-03	8.98E-04
OGG1_0_real_train1	5.37E-161	1.73E-03	4.25E-76	4.40E-03	3.90E-02	2.03E-02	3.64E-02	6.94E-03	4.28E-03
RNF168_0_real_train1	5.03E-03	5.90E-133	1.07E-02	3.12E-03	2.58E-03	4.19E-03	1.06E-02	0.00E+00	6.04E-03
UNG_0_real_train1	7.32E-04	1.63E-75	3.52E-03	1.36E-02	1.34E-02	8.50E-03	8.00E-03	2.75E-03	3.45E-03
ATP2B4_0_real_train1	5.88E-03	4.08E-03	6.95E-02	9.06E-03	2.39E-03	9.03E-03	2.08E-02	4.32E-02	3.96E-02
ATP2B4_1_real_train1	2.78E-137	6.14E-03	7.11E-02	1.41E-87	6.73E-03	4.14E-03	9.55E-03	5.10E-02	3.43E-02
MLH1_0_real_train1	3.61E-03	5.79E-02	7.02E-03	1.27E-02	2.03E-05	5.79E-02	1.50E-02	7.72E-03	1.54E-02
MSH2_0_real_train1	2.11E-22	5.60E-02	9.21E-03	1.75E-02	1.38E-03	5.50E-02	1.35E-02	4.94E-03	2.01E-02
MSH6_0_real_train1	4.77E-86	6.13E-02	7.59E-03	8.09E-03	1.95E-03	6.17E-02	1.30E-02	7.27E-03	1.76E-02
MSH6_1_real_train1	0.00E+00	6.16E-02	3.89E-03	9.87E-03	2.40E-03	6.58E-02	6.76E-03	4.02E-03	8.42E-03
PMS1_0_real_train1	0.00E+00	2.34E-02	8.80E-02	0.00E+00	2.09E-20	6.18E-02	8.48E-02	6.71E-02	1.17E-01
PMS2_0_real_train1	2.19E-02	7.50E-02	8.31E-03	0.00E+00	4.23E-03	1.01E-01	6.06E-03	1.29E-02	2.17E-02
EXO1_0_multinomial_train1	6.66E-03	3.19E-04	0.00E+00	5.48E-03	4.36E-04	1.74E-03	9.15E-03	5.11E-03	0.00E+00
RNF168_0_multinomial_train1	4.86E-03	0.00E+00	1.06E-02	3.54E-04	2.38E-03	1.51E-03	8.50E-03	5.01E-03	8.27E-03
