NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.079	36.44	0.049	99.266	0.159	0.69	40000.0
2	0.076	45.7	0.044	98.798	0.225	0.693	40000.0
3	0.075	16.971	0.047	99.105	0.099	0.697	40000.0
4	0.071	26.186	0.044	98.831	0.127	0.715	40000.0
5	0.062	6.167	0.038	3.831	0.055	0.738	30000.0
6	0.08	36.598	0.05	99.355	0.169	0.683	20000.0
7	0.077	36.246	0.046	98.969	0.177	0.696	20000.0
8	0.072	35.791	0.044	98.762	0.156	0.713	30000.0
9	0.07	54.656	0.041	98.482	0.243	0.731	20000.0
10	0.067	54.363	0.038	98.167	0.281	0.735	20000.0
