Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q
BRCA_TCGA-3C-AAAU	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-3C-AALI	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-3C-AALJ	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-3C-AALK	0.00E+00	1.33E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.33E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.33E-01	0.00E+00	1.33E-01
BRCA_TCGA-4H-AAAK	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.53E-01	1.00E-01	1.00E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	1.00E-01	0.00E+00
BRCA_TCGA-5L-AAT0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-5L-AAT1	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-5T-A9QA	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SB	1.33E-01	1.63E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SD	0.00E+00	0.00E+00	1.00E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	1.33E-01	1.00E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.33E-01	1.00E-01	0.00E+00
BRCA_TCGA-A1-A0SE	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SF	0.00E+00	1.00E-01	0.00E+00	0.00E+00	1.33E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.63E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SG	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SH	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SI	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SJ	1.33E-01	1.00E-01	1.00E-01	1.00E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.53E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SK	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SM	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.33E-01	1.00E-01	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.33E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	1.00E-01
BRCA_TCGA-A1-A0SN	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SO	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A1-A0SP	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A04N	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A04R	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A04U	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A04W	1.00E-01	1.00E-01	0.00E+00	1.00E-01	1.33E-01	1.33E-01	0.00E+00	0.00E+00	1.53E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0CK	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0CL	1.33E-01	0.00E+00	0.00E+00	0.00E+00	1.53E-01	0.00E+00	0.00E+00	1.00E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.33E-01	0.00E+00	0.00E+00	1.00E-01	0.00E+00
BRCA_TCGA-A2-A0CR	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0CS	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0CV	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0CW	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0D3	0.00E+00	0.00E+00	1.00E-01	0.00E+00	0.00E+00	1.00E-01	1.53E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	1.00E-01	1.00E-01	1.00E-01	0.00E+00
BRCA_TCGA-A2-A0EN	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0EP	1.00E-01	1.00E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	1.63E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0ES	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0EW	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.00E-01	1.00E-01	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.33E-01	0.00E+00	1.33E-01	0.00E+00	0.00E+00	1.00E-01	1.00E-01
BRCA_TCGA-A2-A0ST	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0SU	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0SX	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0SY	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0T0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0T1	1.00E-01	1.33E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	1.00E-01	1.00E-01
BRCA_TCGA-A2-A0T3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0T4	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0T5	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0T6	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0T7	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YC	0.00E+00	1.00E-01	1.53E-01	0.00E+00	1.33E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.00E-01
BRCA_TCGA-A2-A0YD	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YE	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YF	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YG	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YH	1.33E-01	1.33E-01	0.00E+00	1.00E-01	1.00E-01	1.33E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00
BRCA_TCGA-A2-A0YI	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YJ	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YK	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YL	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YM	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A0YT	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A1FV	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A1FW	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A1FX	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A1FZ	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A1G0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A1G1	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A1G6	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	1.33E-01	1.00E-01	1.33E-01	1.00E-01	0.00E+00	0.00E+00
BRCA_TCGA-A2-A259	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A25A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A25B	1.00E-01	1.33E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01	1.00E-01	0.00E+00	0.00E+00	0.00E+00	1.33E-01	0.00E+00	0.00E+00
BRCA_TCGA-A2-A25C	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-A2-A25D	1.33E-01	1.33E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.53E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	1.00E-01	0.00E+00	1.00E-01
