Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	1.43E-03	1.12E-03	3.61E-02	4.71E-03	4.80E-02	5.52E-02
OGG1_boot.1	9.89E-04	1.72E-03	2.26E-02	2.51E-03	3.40E-02	3.03E-02
OGG1_boot.2	0.00E+00	7.12E-04	3.92E-02	1.78E-03	3.44E-02	4.58E-02
OGG1_boot.3	0.00E+00	5.54E-04	3.16E-02	3.09E-04	2.89E-02	3.56E-02
OGG1_boot.4	5.19E-133	6.11E-04	3.78E-02	1.23E-03	2.94E-02	3.88E-02
OGG1_boot.5	2.58E-03	1.18E-03	3.26E-02	0.00E+00	3.44E-02	4.11E-02
OGG1_boot.6	1.18E-03	1.20E-03	3.44E-02	2.82E-03	3.16E-02	4.06E-02
OGG1_boot.7	1.02E-03	9.31E-04	3.12E-02	2.88E-03	3.16E-02	3.75E-02
OGG1_boot.8	0.00E+00	5.49E-04	3.57E-02	1.90E-03	3.14E-02	4.10E-02
OGG1_boot.9	1.52E-82	6.23E-04	2.68E-02	2.06E-03	2.49E-02	2.96E-02
OGG1_boot.10	1.01E-03	9.60E-04	2.55E-02	8.58E-04	2.94E-02	2.80E-02
OGG1_boot.11	5.97E-98	2.81E-04	2.76E-02	1.16E-03	2.59E-02	3.08E-02
OGG1_boot.12	6.75E-04	8.39E-04	3.25E-02	2.63E-03	3.23E-02	3.95E-02
OGG1_boot.13	1.29E-03	1.01E-03	2.71E-02	2.37E-03	3.22E-02	3.37E-02
OGG1_boot.14	9.44E-04	5.44E-04	2.29E-02	2.20E-03	2.42E-02	2.55E-02
OGG1_boot.15	0.00E+00	3.74E-04	2.98E-02	1.14E-03	2.56E-02	3.19E-02
OGG1_boot.16	5.14E-03	9.91E-04	2.84E-02	0.00E+00	3.82E-02	4.30E-02
OGG1_boot.17	0.00E+00	3.85E-04	3.25E-02	6.46E-04	2.98E-02	3.75E-02
OGG1_boot.18	0.00E+00	9.52E-04	2.14E-02	0.00E+00	2.37E-02	2.39E-02
OGG1_boot.19	4.90E-04	3.96E-04	2.91E-02	0.00E+00	2.56E-02	3.12E-02
OGG1_boot.20	8.46E-04	6.46E-04	2.85E-02	1.85E-03	2.83E-02	3.37E-02
OGG1_boot.21	6.00E-44	5.75E-04	3.79E-02	4.08E-03	3.81E-02	4.78E-02
OGG1_boot.22	1.13E-03	7.71E-04	2.97E-02	1.39E-03	2.62E-02	3.29E-02
OGG1_boot.23	0.00E+00	7.60E-04	3.66E-02	2.15E-03	3.21E-02	4.23E-02
OGG1_boot.24	9.46E-04	6.89E-04	3.25E-02	5.31E-04	2.90E-02	3.77E-02
OGG1_boot.25	0.00E+00	6.01E-04	3.35E-02	1.89E-03	3.00E-02	3.88E-02
OGG1_boot.26	0.00E+00	7.49E-04	4.28E-02	0.00E+00	3.23E-02	4.34E-02
OGG1_boot.27	0.00E+00	1.13E-03	2.36E-02	8.99E-81	2.87E-02	2.68E-02
OGG1_boot.28	4.16E-03	1.15E-03	4.08E-02	2.89E-03	3.57E-02	4.65E-02
OGG1_boot.29	0.00E+00	1.03E-03	3.61E-02	2.75E-03	3.22E-02	4.20E-02
OGG1_boot.30	0.00E+00	1.54E-03	3.18E-02	2.39E-03	3.63E-02	4.18E-02
OGG1_boot.31	2.17E-04	7.24E-04	2.99E-02	2.52E-03	2.94E-02	3.42E-02
OGG1_boot.32	0.00E+00	6.80E-04	2.64E-02	1.07E-133	2.61E-02	3.00E-02
OGG1_boot.33	0.00E+00	4.91E-04	3.15E-02	1.97E-03	2.99E-02	3.66E-02
OGG1_boot.34	0.00E+00	7.06E-04	3.46E-02	1.73E-03	2.93E-02	3.84E-02
OGG1_boot.35	1.04E-03	5.76E-04	3.30E-02	0.00E+00	2.93E-02	3.75E-02
OGG1_boot.36	9.81E-04	1.14E-03	3.31E-02	2.61E-03	3.00E-02	3.79E-02
OGG1_boot.37	0.00E+00	3.92E-04	2.41E-02	2.04E-03	2.72E-02	2.81E-02
OGG1_boot.38	0.00E+00	7.31E-04	2.80E-02	2.53E-03	3.23E-02	3.43E-02
OGG1_boot.39	0.00E+00	6.97E-04	2.73E-02	0.00E+00	2.61E-02	3.01E-02
OGG1_boot.40	0.00E+00	9.40E-04	2.74E-02	3.21E-03	3.00E-02	3.13E-02
OGG1_boot.41	1.57E-60	8.92E-04	3.52E-02	2.67E-03	3.26E-02	4.16E-02
OGG1_boot.42	2.53E-04	4.97E-04	2.38E-02	1.97E-03	2.61E-02	2.75E-02
OGG1_boot.43	0.00E+00	3.90E-04	3.69E-02	0.00E+00	3.02E-02	3.97E-02
OGG1_boot.44	0.00E+00	8.17E-04	2.29E-02	6.09E-04	2.70E-02	2.57E-02
OGG1_boot.45	0.00E+00	4.70E-04	2.71E-02	1.75E-03	2.97E-02	3.22E-02
OGG1_boot.46	8.69E-04	9.41E-04	3.20E-02	1.22E-03	2.78E-02	3.60E-02
