NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.398	39.848	0.063	30.608	0.219	0.908	15000.0
2	0.399	39.903	0.063	30.645	0.225	0.908	15000.0
3	0.399	39.897	0.063	30.637	0.219	0.908	15000.0
4	0.399	39.871	0.063	30.625	0.221	0.908	15000.0
5	0.395	39.475	0.063	30.428	0.226	0.909	15000.0
6	0.399	39.882	0.063	30.63	0.226	0.908	15000.0
7	0.395	39.47	0.063	30.42	0.218	0.909	15000.0
8	0.397	39.702	0.063	30.524	0.217	0.909	15000.0
9	0.399	39.893	0.063	30.634	0.218	0.908	15000.0
10	0.395	39.474	0.063	30.419	0.214	0.909	15000.0
