Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
EXO1_0_real_train1	4.87E-40	1.35E-34	1.65E-58	1.28E-01	7.38E-02	4.20E-45	1.87E-01	1.27E-01	1.80E-03	2.94E-146	7.06E-02
OGG1_0_real_train1	1.09E-01	8.89E-03	4.53E-03	1.58E-01	1.02E-02	1.05E-01	9.02E-03	7.76E-03	1.09E-01	1.40E-02	6.18E-03
RNF168_0_real_train1	2.19E-02	1.14E-01	4.23E-03	7.26E-03	1.10E-01	1.73E-01	1.04E-02	1.63E-52	1.01E-02	1.17E-01	1.05E-01
UNG_0_real_train1	1.07E-02	1.86E-03	1.33E-01	7.20E-03	1.63E-01	1.07E-01	7.83E-03	1.08E-01	1.03E-02	3.09E-03	5.59E-03
ATP2B4_0_real_train1	1.72E-02	1.09E-01	9.94E-03	6.80E-24	1.79E-02	8.50E-02	2.91E-02	1.65E-02	1.24E-01	7.92E-02	7.40E-02
ATP2B4_1_real_train1	1.11E-02	1.34E-01	1.37E-02	6.16E-08	1.81E-02	9.78E-02	1.36E-02	1.16E-02	1.41E-01	1.00E-01	9.83E-02
MLH1_0_real_train1	1.81E-01	2.39E-53	1.26E-01	1.64E-01	3.28E-03	3.86E-02	4.84E-22	1.28E-73	2.64E-03	1.24E-01	1.90E-03
MSH2_0_real_train1	1.14E-01	5.53E-02	4.00E-04	1.41E-03	6.30E-87	5.56E-03	2.10E-03	1.59E-01	9.47E-03	1.21E-01	1.75E-01
MSH6_0_real_train1	5.17E-02	1.73E-01	1.25E-26	1.49E-03	8.44E-02	3.49E-02	1.21E-01	3.99E-03	2.90E-03	8.01E-04	1.68E-03
MSH6_1_real_train1	5.28E-02	1.76E-01	1.25E-26	3.14E-03	8.42E-02	3.35E-02	1.23E-01	1.25E-26	2.04E-03	3.71E-03	2.79E-03
PMS1_0_real_train1	2.82E-03	1.15E-22	7.62E-03	3.36E-03	1.09E-01	8.30E-03	9.73E-02	1.62E-01	1.15E-01	1.01E-01	1.27E-02
PMS2_0_real_train1	1.51E-01	2.71E-04	1.71E-01	1.99E-03	3.72E-03	2.82E-03	1.26E-03	3.61E-03	2.80E-03	2.82E-03	1.14E-01
EXO1_0_multinomial_train1	2.13E-65	4.92E-51	5.63E-41	1.28E-01	7.44E-02	5.12E-43	1.86E-01	1.28E-01	1.29E-03	4.91E-04	7.07E-02
EXO1_0_multinomial_train1.1	7.27E-04	4.73E-04	5.97E-48	1.27E-01	7.02E-02	7.31E-62	1.82E-01	1.24E-01	4.34E-03	1.16E-103	6.96E-02
EXO1_0_multinomial_train1.2	1.19E-47	4.34E-56	3.31E-24	1.28E-01	7.60E-02	7.65E-42	1.85E-01	1.26E-01	2.00E-03	2.78E-138	7.03E-02
EXO1_0_multinomial_train1.3	1.28E-49	8.44E-29	3.19E-107	1.32E-01	7.11E-02	5.09E-36	1.88E-01	1.28E-01	5.98E-03	6.20E-153	7.23E-02
EXO1_0_multinomial_train1.4	1.19E-154	1.11E-158	2.25E-133	1.28E-01	8.27E-02	1.39E-03	1.87E-01	1.28E-01	0.00E+00	0.00E+00	6.94E-02
EXO1_0_multinomial_train1.5	1.02E-43	1.31E-34	4.40E-122	1.30E-01	7.32E-02	9.17E-39	1.85E-01	1.26E-01	5.05E-03	2.14E-09	7.07E-02
EXO1_0_multinomial_train1.6	2.46E-29	5.11E-10	1.42E-49	1.27E-01	7.16E-02	1.24E-04	1.84E-01	1.26E-01	2.34E-03	5.22E-04	7.02E-02
EXO1_0_multinomial_train1.7	6.96E-44	2.34E-49	3.47E-125	1.26E-01	7.56E-02	9.43E-75	1.82E-01	1.25E-01	2.62E-03	0.00E+00	6.92E-02
EXO1_0_multinomial_train1.8	5.28E-20	1.38E-21	2.39E-05	1.29E-01	7.12E-02	8.25E-45	1.88E-01	1.29E-01	4.02E-05	1.87E-66	7.10E-02
EXO1_0_multinomial_train1.9	2.56E-44	1.77E-56	3.49E-112	1.30E-01	7.56E-02	1.45E-03	1.89E-01	1.29E-01	3.29E-03	0.00E+00	7.07E-02
EXO1_0_multinomial_train1.10	1.42E-20	6.80E-22	3.74E-55	1.30E-01	7.21E-02	4.90E-44	1.86E-01	1.26E-01	5.26E-03	5.28E-118	7.12E-02
EXO1_0_multinomial_train1.11	8.55E-59	1.22E-45	5.89E-123	1.26E-01	7.33E-02	1.40E-03	1.82E-01	1.24E-01	2.87E-03	3.02E-03	6.97E-02
EXO1_0_multinomial_train1.12	2.94E-49	1.08E-44	1.73E-88	1.27E-01	7.46E-02	6.51E-04	1.85E-01	1.26E-01	1.63E-03	2.01E-03	7.01E-02
EXO1_0_multinomial_train1.13	1.79E-57	1.95E-48	1.74E-07	1.27E-01	7.30E-02	1.63E-83	1.85E-01	1.27E-01	7.24E-04	0.00E+00	6.94E-02
EXO1_0_multinomial_train1.14	3.99E-56	3.20E-57	5.74E-59	1.28E-01	7.51E-02	5.32E-04	1.85E-01	1.26E-01	3.43E-03	0.00E+00	6.97E-02
EXO1_0_multinomial_train1.15	1.87E-03	1.78E-11	9.22E-17	1.27E-01	7.04E-02	8.97E-61	1.84E-01	1.27E-01	4.05E-03	2.83E-78	6.95E-02
EXO1_0_multinomial_train1.16	6.64E-42	9.77E-35	5.57E-32	1.29E-01	7.28E-02	5.90E-04	1.88E-01	1.29E-01	8.09E-26	0.00E+00	7.05E-02
EXO1_0_multinomial_train1.17	3.57E-03	1.79E-03	2.20E-03	1.27E-01	6.73E-02	1.51E-63	1.85E-01	1.27E-01	3.55E-03	6.33E-39	6.98E-02
EXO1_0_multinomial_train1.18	1.50E-03	2.43E-78	7.00E-76	1.26E-01	7.67E-02	9.85E-04	1.84E-01	1.25E-01	1.75E-03	4.49E-95	7.05E-02
EXO1_0_multinomial_train1.19	2.17E-28	3.68E-32	5.96E-81	1.30E-01	7.37E-02	6.77E-32	1.90E-01	1.30E-01	8.79E-04	1.79E-142	7.14E-02
EXO1_0_multinomial_train1.20	3.74E-33	3.53E-34	8.32E-102	1.28E-01	7.47E-02	1.10E-03	1.87E-01	1.28E-01	8.00E-04	2.37E-30	7.00E-02
EXO1_0_multinomial_train1.21	1.51E-03	1.29E-23	1.29E-94	1.26E-01	7.32E-02	4.36E-33	1.83E-01	1.26E-01	2.70E-03	8.56E-151	6.93E-02
EXO1_0_multinomial_train1.22	2.37E-14	9.49E-17	9.57E-76	1.28E-01	7.03E-02	2.03E-30	1.84E-01	1.25E-01	3.75E-03	3.02E-03	7.19E-02
EXO1_0_multinomial_train1.23	4.25E-82	1.56E-90	9.89E-57	1.27E-01	7.62E-02	9.74E-04	1.85E-01	1.27E-01	4.47E-03	3.59E-142	6.91E-02
EXO1_0_multinomial_train1.24	6.54E-04	1.69E-17	7.24E-48	1.29E-01	7.19E-02	4.03E-35	1.86E-01	1.27E-01	4.65E-03	1.99E-118	7.10E-02
EXO1_0_multinomial_train1.25	7.72E-24	4.02E-04	1.95E-31	1.28E-01	7.09E-02	4.95E-54	1.86E-01	1.27E-01	2.60E-03	4.67E-132	7.01E-02
EXO1_0_multinomial_train1.26	1.66E-19	2.51E-06	4.78E-22	1.30E-01	7.03E-02	1.17E-40	1.87E-01	1.27E-01	2.96E-03	0.00E+00	7.12E-02
EXO1_0_multinomial_train1.27	7.59E-04	1.49E-13	1.16E-96	1.25E-01	7.24E-02	5.44E-80	1.84E-01	1.26E-01	4.78E-03	1.02E-91	6.90E-02
EXO1_0_multinomial_train1.28	5.30E-03	1.02E-14	5.88E-53	1.28E-01	6.52E-02	1.43E-03	1.83E-01	1.24E-01	7.20E-03	3.98E-03	6.97E-02
EXO1_0_multinomial_train1.29	3.94E-35	3.20E-25	2.22E-31	1.28E-01	7.42E-02	8.05E-29	1.87E-01	1.27E-01	1.50E-03	0.00E+00	7.07E-02
EXO1_0_multinomial_train1.30	1.58E-11	2.67E-17	8.23E-72	1.27E-01	7.29E-02	1.07E-61	1.86E-01	1.27E-01	4.06E-04	2.08E-120	6.99E-02
EXO1_0_multinomial_train1.31	5.55E-72	4.82E-63	2.53E-41	1.27E-01	7.66E-02	2.22E-51	1.85E-01	1.25E-01	2.69E-03	0.00E+00	7.02E-02
EXO1_0_multinomial_train1.32	1.78E-82	2.46E-90	1.64E-64	1.31E-01	7.70E-02	7.17E-43	1.92E-01	1.31E-01	2.86E-04	1.39E-125	7.17E-02
EXO1_0_multinomial_train1.33	3.66E-10	2.29E-15	7.48E-48	1.32E-01	7.03E-02	1.64E-16	1.90E-01	1.29E-01	4.78E-03	3.08E-104	7.28E-02
EXO1_0_multinomial_train1.34	3.63E-34	3.16E-50	7.76E-80	1.29E-01	5.44E-02	4.81E-49	1.88E-01	1.29E-01	2.45E-03	1.23E-61	7.03E-02
EXO1_0_multinomial_train1.35	3.83E-04	3.83E-05	1.48E-68	1.27E-01	7.05E-02	8.95E-62	1.84E-01	1.26E-01	3.42E-03	3.87E-93	6.97E-02
EXO1_0_multinomial_train1.36	4.01E-60	5.68E-52	1.01E-72	1.26E-01	7.78E-02	3.10E-42	1.82E-01	1.24E-01	2.92E-03	0.00E+00	6.99E-02
EXO1_0_multinomial_train1.37	4.85E-23	8.70E-14	6.31E-85	1.28E-01	6.97E-02	9.31E-04	1.87E-01	1.28E-01	1.75E-03	2.18E-03	7.02E-02
EXO1_0_multinomial_train1.38	1.41E-74	1.93E-67	1.27E-18	1.30E-01	7.47E-02	3.71E-32	1.90E-01	1.30E-01	7.93E-150	0.00E+00	7.17E-02
EXO1_0_multinomial_train1.39	1.35E-105	2.56E-88	1.92E-45	1.29E-01	7.65E-02	7.90E-48	1.89E-01	1.29E-01	4.34E-159	0.00E+00	7.08E-02
EXO1_0_multinomial_train1.40	0.00E+00	3.95E-141	2.28E-03	1.29E-01	7.97E-02	3.11E-03	1.87E-01	1.27E-01	3.08E-03	3.23E-134	7.04E-02
EXO1_0_multinomial_train1.41	1.50E-82	3.29E-68	2.91E-88	1.26E-01	7.53E-02	1.09E-03	1.82E-01	1.24E-01	3.47E-03	2.86E-116	6.91E-02
EXO1_0_multinomial_train1.42	1.74E-101	4.40E-85	8.02E-78	1.31E-01	7.71E-02	2.15E-22	1.89E-01	1.29E-01	2.55E-03	3.63E-78	7.20E-02
EXO1_0_multinomial_train1.43	5.22E-30	7.79E-36	1.12E-29	1.27E-01	7.50E-02	8.32E-60	1.85E-01	1.27E-01	0.00E+00	0.00E+00	6.99E-02
EXO1_0_multinomial_train1.44	9.01E-04	1.15E-08	8.02E-31	1.28E-01	7.18E-02	6.89E-44	1.84E-01	1.26E-01	4.87E-03	1.79E-141	7.02E-02
EXO1_0_multinomial_train1.45	5.54E-04	9.28E-07	1.77E-52	1.27E-01	7.10E-02	6.27E-42	1.86E-01	1.28E-01	3.34E-03	1.27E-03	7.04E-02
EXO1_0_multinomial_train1.46	1.88E-18	1.40E-12	2.97E-41	1.29E-01	7.25E-02	3.74E-32	1.87E-01	1.28E-01	1.72E-03	1.98E-146	7.12E-02
EXO1_0_multinomial_train1.47	2.70E-150	2.09E-128	2.19E-46	1.30E-01	7.91E-02	1.07E-36	1.88E-01	1.28E-01	2.49E-03	0.00E+00	7.13E-02
EXO1_0_multinomial_train1.48	6.48E-03	3.50E-03	2.71E-03	1.26E-01	6.52E-02	9.97E-48	1.86E-01	1.28E-01	5.30E-03	1.90E-54	7.06E-02
EXO1_0_multinomial_train1.49	1.74E-03	6.06E-102	1.88E-145	1.27E-01	7.98E-02	1.32E-03	1.84E-01	1.25E-01	2.47E-03	1.80E-03	7.09E-02
EXO1_0_multinomial_train1.50	3.52E-52	4.33E-62	2.19E-98	1.28E-01	7.56E-02	6.08E-51	1.83E-01	1.24E-01	5.76E-03	0.00E+00	7.02E-02
EXO1_0_multinomial_train1.51	7.79E-74	2.78E-73	2.67E-51	1.28E-01	7.71E-02	1.02E-48	1.86E-01	1.26E-01	2.95E-03	0.00E+00	7.05E-02
EXO1_0_multinomial_train1.52	5.09E-100	3.20E-87	1.41E-23	1.28E-01	7.71E-02	2.05E-59	1.87E-01	1.28E-01	4.28E-82	0.00E+00	7.03E-02
EXO1_0_multinomial_train1.53	1.35E-114	1.49E-109	2.74E-89	1.31E-01	7.95E-02	9.11E-15	1.88E-01	1.27E-01	3.78E-03	1.26E-122	7.18E-02
