NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.376	37.628	0.058	28.254	0.214	0.922	15000.0
2	0.376	37.629	0.058	28.254	0.211	0.922	15000.0
3	0.376	37.627	0.058	28.254	0.21	0.922	15000.0
4	0.376	37.628	0.058	28.253	0.214	0.922	15000.0
5	0.376	37.628	0.058	28.259	0.209	0.922	15000.0
6	0.376	37.63	0.058	28.253	0.222	0.922	15000.0
7	0.376	37.628	0.058	28.254	0.214	0.922	15000.0
8	0.376	37.626	0.058	28.254	0.211	0.922	15000.0
9	0.376	37.626	0.058	28.255	0.212	0.922	15000.0
10	0.376	37.627	0.058	28.254	0.213	0.922	15000.0
