run,seed,accuracy,f1_score,recall,best_C
1,454521,0.8715,0.8688064571927806,0.8715000000000002,100.0
2,480662,0.8715,0.8688064571927806,0.8715000000000002,100.0
3,219352,0.8715,0.8688064571927806,0.8715000000000002,100.0
4,478459,0.8715,0.8688064571927806,0.8715000000000002,100.0
5,163671,0.8715,0.8688064571927806,0.8715000000000002,100.0
6,106816,0.8715,0.8688064571927806,0.8715000000000002,100.0
7,345880,0.87175,0.8690775082350654,0.87175,100.0
8,559628,0.8715,0.8688064571927806,0.8715000000000002,100.0
9,353906,0.8715,0.8688064571927806,0.8715000000000002,100.0
10,45910,0.8715,0.8688064571927806,0.8715000000000002,100.0
