NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.619	61.912	0.103	54.881	449.22	0.753	15000.0
2	0.736	73.635	0.141	79.318	97.377	0.687	15000.0
3	0.651	65.131	0.11	59.452	2.988	0.71	15000.0
4	0.585	58.524	0.095	51.806	423.878	0.786	25000.0
5	0.576	57.599	0.094	51.173	468.059	0.83	35000.0
6	0.594	59.383	0.099	50.403	336.771	0.766	15000.0
7	1.519	151.897	0.493	195.589	19.608	0.81	20000.0
8	0.647	64.675	0.109	56.635	321.885	0.699	15000.0
9	0.582	58.238	0.096	51.562	165.271	0.797	15000.0
10	0.613	61.257	0.101	54.114	130.436	0.734	15000.0
