NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.404	40.36	0.063	30.512	0.265	0.908	15000.0
2	0.399	39.941	0.063	30.335	0.265	0.909	15000.0
3	0.399	39.932	0.063	30.318	0.283	0.909	105000.0
4	0.399	39.933	0.063	30.319	0.284	0.909	105000.0
5	0.399	39.93	0.063	30.319	0.278	0.909	65000.0
6	0.403	40.35	0.063	30.505	0.277	0.908	55000.0
7	0.447	44.67	0.069	34.01	2.39	0.884	15000.0
8	0.401	40.121	0.063	30.393	0.281	0.909	105000.0
9	0.404	40.351	0.063	30.507	0.281	0.908	85000.0
10	0.399	39.93	0.063	30.318	0.282	0.909	105000.0
