NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	178.398	82.864	36.269	55.279	0.729	0.735	60000.0
2	178.881	83.017	36.46	55.451	0.729	0.734	20000.0
3	178.585	82.503	36.286	55.085	0.723	0.737	30000.0
4	178.528	82.776	36.211	55.2	0.727	0.736	20000.0
5	180.875	83.311	37.027	57.262	0.765	0.725	50000.0
6	178.799	82.483	36.343	55.151	0.726	0.737	30000.0
7	178.426	82.915	36.135	55.362	0.734	0.733	30000.0
8	178.886	82.833	36.455	55.291	0.731	0.734	50000.0
9	178.437	82.663	36.336	55.266	0.727	0.735	20000.0
10	178.941	82.589	36.405	55.22	0.731	0.736	20000.0
